step,type,amount,name_orig,old_balance_orig,new_balance_orig,name_dest,old_balance_dest,new_balance_dest,is_fraud,is_flagged_fraud
471,PAYMENT,6045.57,C358334487,261489.42,255443.85,M350749016,110934.37,116979.94,0,0
280,PAYMENT,6100.91,C498631646,5986.38,0.0,M576797391,9275.86,15376.77,0,0
85,CASH_IN,5888.71,C528501576,359.95,0.0,C441822918,779.53,6668.24,0,0
455,CASH_OUT,31129.33,C544931228,40062.15,8932.82,C200108623,4102.73,35232.06,0,0
429,CASH_OUT,435.61,C812838024,7771.59,7335.98,C701444428,448.75,884.36,0,0
307,CASH_IN,21371.14,C731087338,137812.21,116441.07,C692530528,2774.68,24145.82,0,0
144,CASH_IN,11367.22,C484092859,3313.18,0.0,C336171651,170400.39,181767.61,0,0
525,CASH_IN,119189.08,C401026616,46302.0,0.0,C308790471,457.81,119646.89,0,0
741,PAYMENT,821.44,C527852041,144.43,0.0,M761387608,8237.05,9058.49,0,0
165,TRANSFER,40241.41,C787353394,6947.01,0.0,C758063738,25019.49,65260.9,0,0
303,PAYMENT,1578.91,C389215848,1418.76,0.0,M423511951,237916.11,239495.02,0,0
511,PAYMENT,1637.42,C293649379,15373.01,13735.59,M446935263,257552.33,259189.75,0,0
545,CASH_IN,355.36,C402778221,10098.53,9743.17,C825110871,70630.51,70985.87,0,0
247,CASH_OUT,3568.69,C898806620,16264.85,12696.16,C251224299,24472.08,28040.77,0,0
179,DEBIT,6965.48,C328268770,3793.93,0.0,C423713330,93.04,7058.52,0,0
5,TRANSFER,11860.2,C923337029,241349.28,229489.08,C134262820,19231.62,31091.82,0,0
82,DEBIT,4510.76,C587875211,11956.31,7445.55,C861753301,2862.31,7373.07,0,0
316,CASH_OUT,395.22,C218767591,509.88,114.66,C873251184,10615.18,11010.4,0,0
351,DEBIT,22368.8,C364785282,44766.64,22397.84,C527693141,65.1,22433.9,0,0
111,TRANSFER,11588.35,C451788060,138108.62,126520.27,C673997880,1884.8,13473.15,0,0
323,DEBIT,448.39,C592349166,109576.65,109128.26,C402568230,34526.5,34974.89,0,0
30,TRANSFER,3534.74,C512502316,1062.2,0.0,C286956883,1562.85,5097.59,0,0
577,PAYMENT,1156.27,C968649346,9433.77,8277.5,M506758780,826.62,1982.89,0,0
167,CASH_IN,39783.04,C398017489,179548.94,139765.9,C276675869,1286.21,41069.25,0,0
464,DEBIT,8533.26,C165964382,95307.75,86774.49,C356798062,14824.91,23358.17,0,0
227,CASH_OUT,245.46,C805619076,26018.27,25772.81,C255047144,2983.25,3228.71,0,0
347,TRANSFER,1668.68,C825480666,3510.01,1841.33,C744012916,779.59,2448.27,0,0
368,DEBIT,6112.29,C294651280,4317.7,0.0,C338629623,4966.25,11078.54,0,0
330,CASH_IN,1259.49,C787233358,163489.88,162230.39,C677480205,504.87,1764.36,0,0
538,CASH_OUT,8003.8,C515403733,18714.0,10710.2,C343052008,2065.91,10069.71,0,0
287,CASH_IN,3387.39,C121749497,22449.06,19061.67,C989207834,24809.3,28196.69,0,0
620,CASH_OUT,35443.27,C567167193,3897.02,0.0,C521239642,69960.81,105404.08,0,0
707,CASH_OUT,8617.14,C762752783,19946.0,11328.86,C744346274,393.64,9010.78,0,0
454,CASH_IN,8539.83,C269577801,1552.55,0.0,C206524607,8015.24,16555.07,0,0
303,PAYMENT,901.52,C268549881,6160.6,5259.08,M744501483,59197.95,60099.47,0,0
135,CASH_OUT,50.8,C128392744,7048.12,6997.32,C424308133,490.2,541.0,0,0
418,CASH_IN,223.48,C598227721,6554.75,6331.27,C681510765,173354.64,173578.12,0,0
123,CASH_OUT,3040.2,C485669380,2318.91,0.0,C834973102,666.18,3706.38,0,0
605,CASH_OUT,1380.18,C289078350,824.41,0.0,C536068253,73277.11,74657.29,0,0
619,PAYMENT,483.61,C325395650,1298.75,815.14,M609854554,871.51,1355.12,0,0
406,CASH_IN,23142.45,C337609168,3334.76,0.0,C235508256,8945.55,32088.0,0,0
34,DEBIT,958.74,C331336425,409906.22,408947.48,C230040865,4382.44,5341.18,0,0
601,CASH_OUT,1803.38,C268460904,3503.14,1699.76,C636990823,143.54,1946.92,0,0
310,CASH_IN,31068.44,C670842835,34968.24,3899.8,C937770968,4955.53,36023.97,0,0
8,DEBIT,2564.89,C298584850,581240.29,578675.4,C262375273,247.37,2812.26,0,0
429,CASH_IN,194.65,C202241338,11326.01,11131.36,C820936490,5053.38,5248.03,0,0
50,TRANSFER,2802.22,C214077454,151452.8,148650.58,C718963008,16384.77,19186.99,0,0
659,CASH_OUT,7388.29,C361476152,3712.04,0.0,C327253619,4376.68,11764.97,0,0
634,DEBIT,9088.0,C342335931,1128613.75,1119525.75,C625498942,26148.41,35236.41,0,0
499,TRANSFER,4333.9,C191002437,14455.18,10121.28,C748220964,20279.47,24613.37,0,0
3,CASH_IN,1214.34,C162421799,1531.39,317.05,C793774286,3589.63,4803.97,0,0
189,CASH_IN,15932.76,C860996453,11098.85,0.0,C724667819,500.92,16433.68,0,0
441,DEBIT,843.0,C206783640,31380.56,30537.56,C504567520,2288.47,3131.47,0,0
189,CASH_OUT,205.12,C465622014,478359.82,478154.7,C504342096,826.14,1031.26,0,0
717,DEBIT,1793.61,C628527305,7585.43,5791.82,C168709102,366.88,2160.49,0,0
378,TRANSFER,1222.91,C479994398,101688.81,100465.9,C743925238,3755.89,4978.8,0,0
3,DEBIT,2627.8,C880711349,17274.11,14646.31,C582643785,245058.15,247685.95,0,0
637,TRANSFER,42.47,C971766117,155542.43,155499.96,C253144050,7230.99,7273.46,0,0
1,CASH_OUT,17050.25,C406719360,167.78,0.0,C952467057,13620.62,30670.87,0,0
223,DEBIT,2214.64,C246798146,402.47,0.0,C897682626,356404.67,358619.31,0,0
85,CASH_OUT,1081.99,C513466574,-144.18,0.0,C798887348,181.54,1263.53,0,0
477,PAYMENT,9017.05,C939494253,9981.82,964.77,M673887754,92000.44,101017.49,0,0
292,CASH_IN,1468.29,C455942903,4202.95,2734.66,C504633664,4123.8,5592.09,0,0
452,DEBIT,6721.11,C888037262,2431.45,0.0,C409173063,28969.71,35690.82,0,0
455,CASH_OUT,1346.92,C113796010,-815.76,0.0,C940064818,1140.45,2487.37,0,0
630,CASH_IN,1185.48,C417514400,3025.16,1839.68,C912754910,13321.8,14507.28,0,0
201,DEBIT,1140.04,C827652457,77462.17,76322.13,C759576839,6247.57,7387.61,0,0
83,CASH_IN,6326.93,C819492928,9124.23,2797.3,C584643845,685.6,7012.53,0,0
439,PAYMENT,8605.48,C551744840,209.53,0.0,M863965600,1692.54,10298.02,0,0
349,PAYMENT,4708.14,C162720822,14829.08,10120.94,M470012350,741890.04,746598.18,0,0
675,CASH_OUT,11369.84,C605658736,152660.56,141290.72,C795894883,7315.47,18685.31,0,0
69,PAYMENT,273.5,C234240941,95830.48,95556.98,M128457066,1208.04,1481.54,0,0
164,TRANSFER,7710.54,C694610649,3292.22,0.0,C192922198,643.23,8353.77,0,0
489,DEBIT,9359.6,C687809201,110.86,0.0,C158995729,199385.31,208744.91,0,0
679,PAYMENT,992.75,C179649206,2615.09,1622.34,M955937129,23972.2,24964.95,0,0
62,TRANSFER,592.3,C267374517,1654.35,1062.05,C241782701,10172.96,10765.26,0,0
71,CASH_OUT,38027.74,C824960881,3382.21,0.0,C222274698,96245.2,134272.94,0,0
490,PAYMENT,75093.72,C772230652,1370.76,0.0,M687438209,3148.89,78242.61,0,0
25,PAYMENT,5692.77,C514874520,725.0,0.0,M775597843,440.68,6133.45,0,0
648,PAYMENT,307.51,C559108389,255333.3,255025.79,M319577812,381.51,689.02,0,0
252,DEBIT,865.53,C245474065,423.09,0.0,C262316070,34985.41,35850.94,0,0
701,CASH_OUT,816.33,C622154625,922.57,106.24,C232182114,20528.75,21345.08,0,0
365,TRANSFER,325.81,C728969739,5560.39,5234.58,C266765379,6489.96,6815.77,0,0
142,CASH_IN,2704.49,C506465823,2789.45,84.96,C979110488,16242.1,18946.59,0,0
738,TRANSFER,10648.91,C405462246,10474.27,0.0,C794841455,110744.54,121393.45,0,0
377,TRANSFER,273.51,C544620463,60140.46,59866.95,C336942857,950.65,1224.16,0,0
86,PAYMENT,1738.84,C189256310,36718.52,34979.68,M407162097,163543.9,165282.74,0,0
621,CASH_OUT,22367.77,C434544714,6797.16,0.0,C306765234,151389.13,173756.9,0,0
42,CASH_IN,11878.61,C131050464,240.82,0.0,C901502803,3416.03,15294.64,0,0
465,CASH_OUT,3119.92,C991396939,373728.3,370608.38,C461477391,8915.19,12035.11,0,0
584,CASH_OUT,371.34,C907820519,15777.04,15405.7,C677537806,2410.68,2782.02,0,0
714,TRANSFER,,C259453509,23648.2,18303.64,C361230342,174.28,5518.84,0,0
213,CASH_IN,34509.27,C253761150,1670.41,0.0,C378800387,1847.36,36356.63,0,0
353,PAYMENT,884.43,C743641875,269140.63,268256.2,M807279741,196546.42,197430.85,0,0
390,TRANSFER,2231.1,C508010532,8143.45,5912.35,C757780473,9906.45,12137.55,0,0
130,CASH_OUT,100293.11,C614051496,169.85,0.0,C910638281,182624.92,282918.03,0,0
731,TRANSFER,,C376869382,1124.26,555.4,C210897670,13512.77,14081.63,0,0
675,PAYMENT,7183.14,C694578317,2838.16,0.0,M316579566,40682.6,47865.74,0,0
423,PAYMENT,742.6,C467754980,3816.06,3073.46,M712166727,124452.96,125195.56,0,0
350,CASH_IN,1643.57,C325817903,23020.99,21377.42,C662418344,15618.6,17262.17,0,0
43,CASH_OUT,2839.06,C201197568,50002.03,47162.97,C205615216,1487871.63,1490710.69,0,0
684,DEBIT,406.24,C132570735,1789.85,1383.61,C974589687,18168.41,18574.65,0,0
362,PAYMENT,806.55,C275736606,17669.02,16862.47,M851972908,376.78,1183.33,0,0
403,PAYMENT,,C414431459,3054.93,2457.43,M297556804,853.36,1450.86,0,0
456,PAYMENT,4288.8,C951494641,23584.58,19295.78,M336576444,7036.99,11325.79,0,0
66,DEBIT,17522.47,C964879866,141070.61,123548.14,C255155606,523.47,18045.94,0,0
188,PAYMENT,3957.37,C400271755,18493.33,14535.96,M439219391,14705.49,18662.86,0,0
226,DEBIT,309.96,C967367036,157520.13,157210.17,C367262002,4636.78,4946.74,0,0
375,PAYMENT,1260.36,C822243014,436898.2,435637.84,M521177263,10768.2,12028.56,0,0
396,DEBIT,2393.41,C758842676,1769.65,0.0,C603865874,16478.51,18871.92,0,0
267,PAYMENT,9220.56,C667939466,3233.92,0.0,M573828119,3956.98,13177.54,0,0
301,TRANSFER,2724.7,C732090958,109.67,0.0,C557264222,5248950.71,5251675.41,0,0
169,CASH_OUT,6323.93,C399232586,104907.76,98583.83,C974182513,112187.23,118511.16,0,0
295,TRANSFER,2375.42,C860378644,1961.98,0.0,C494716243,128101.47,130476.89,0,0
23,CASH_IN,5548.07,C429453027,1039.9,0.0,C536793882,5744.43,11292.5,0,0
323,CASH_OUT,441.92,C106242265,46967.42,46525.5,C543751428,1230.36,1672.28,0,0
133,TRANSFER,9655.7,C709329827,34054.1,24398.4,C549690211,18108.35,27764.05,0,0
393,DEBIT,6336.62,C673197608,229.89,0.0,C458418069,149740.44,156077.06,0,0
147,CASH_IN,1241.74,C978775469,3747.84,2506.1,C821734711,24731.45,25973.19,0,0
432,CASH_IN,956.33,C922395677,8626.19,7669.86,C235692343,29042.78,29999.11,0,0
428,PAYMENT,2179.25,C863389561,268943.65,266764.4,M628485005,3056.86,5236.11,0,0
612,CASH_OUT,2512.18,C348480008,55573.04,53060.86,C894241542,11006.41,13518.59,0,0
720,DEBIT,3830.28,C123391364,5242.78,1412.5,C759158247,3896.69,7726.97,0,0
599,PAYMENT,15230.88,C934969743,18504.14,3273.26,M331403025,3212.39,18443.27,0,0
702,DEBIT,10079.48,C389148886,119856.24,109776.76,C248695033,634.17,10713.65,0,0
135,CASH_IN,14280.22,C717968512,764.31,0.0,C218376857,1288.68,15568.9,0,0
448,DEBIT,80922.8,C940289501,8376.5,0.0,C805172609,4200.21,85123.01,0,0
5,DEBIT,8425.05,C299765871,7799.89,0.0,C258209699,2208.32,10633.37,0,0
300,CASH_OUT,10740.39,C629813958,5005.11,0.0,C595498654,16614.83,27355.22,0,0
707,TRANSFER,1107.09,C850797601,309460.26,308353.17,C817399298,14864.24,15971.33,0,0
294,CASH_IN,830.19,C470321653,79923.52,79093.33,C629082656,28553.21,29383.4,0,0
475,TRANSFER,3022.51,C247038561,7319.16,4296.65,C501128806,111.7,3134.21,0,0
533,CASH_IN,26567.48,C412788206,4724.05,0.0,C849594722,25096.33,51663.81,0,0
470,CASH_IN,23324.49,C126013922,21201.29,0.0,C318626496,20695.8,44020.29,0,0
666,CASH_OUT,787.33,C756017743,18181.27,17393.94,C668760811,46159.47,46946.8,0,0
96,CASH_OUT,2210.33,C414182167,59242.03,57031.7,C586172634,251849.79,254060.12,0,0
697,TRANSFER,11958.23,C254638447,1374.27,0.0,C931260068,139348.61,151306.84,0,0
198,CASH_OUT,1210.67,C577500910,8990.37,7779.7,C792679092,225.43,1436.1,0,0
711,CASH_OUT,4991.03,C160237222,454832.15,449841.12,C709226106,680.24,5671.27,0,0
325,DEBIT,305.35,C168753065,1266.64,961.29,C870697234,143874.12,144179.47,0,0
500,PAYMENT,2726.29,C529712592,3843.19,1116.9,M922418910,4439.16,7165.45,0,0
13,PAYMENT,28889.97,C524583449,15047.0,0.0,M311667113,59102.59,87992.56,0,0
646,PAYMENT,4751.49,C335911495,107511.31,102759.82,M820375912,1298.53,6050.02,0,0
533,CASH_OUT,3367.81,C557777489,4773.68,1405.87,C315243627,1466.51,4834.32,0,0
116,CASH_IN,871.36,C172331127,1235.71,364.35,C248518128,1718.14,2589.5,0,0
28,CASH_OUT,1402.8,C982300157,2694.23,1291.43,C152624468,1368.5,2771.3,0,0
300,TRANSFER,2434.4,C640499929,130.37,0.0,C388215682,2074.33,4508.73,0,0
398,CASH_OUT,15477.82,C977361720,167623.23,152145.41,C371793338,310531.68,326009.5,0,0
209,TRANSFER,2382.62,C319679803,103541.26,101158.64,C908246350,41090.05,43472.67,0,0
434,CASH_OUT,769.01,C584642883,24487.51,23718.5,C825522076,87198.7,87967.71,0,0
391,TRANSFER,1714.19,C124632666,395.98,0.0,C948238398,777.07,2491.26,0,0
171,TRANSFER,31749.88,C842318351,2362.9,0.0,C680096911,279182.85,310932.73,0,0
416,TRANSFER,51724.99,C635545199,16055.29,0.0,C877154633,16857.63,68582.62,0,0
715,CASH_IN,235.09,C322098659,66058.69,65823.6,C509300283,3513.45,3748.54,0,0
344,CASH_IN,3735.84,C787318239,3071.68,0.0,C827114774,2581495.44,2585231.28,0,0
622,DEBIT,1279.32,C407133414,2442.32,1163.0,C566933730,45166.0,46445.32,0,0
137,TRANSFER,6746.6,C125798620,14297.66,7551.06,C703755635,300018.03,306764.63,0,0
430,DEBIT,385.55,C400574412,72175.16,71789.61,C710163726,887.93,1273.48,0,0
117,CASH_IN,3551.25,C301645728,1626.0,0.0,C256306033,105.56,3656.81,0,0
637,DEBIT,10619.43,C496845507,7172.26,0.0,C919906844,719.0,11338.43,0,0
578,CASH_IN,1868.78,C331014448,47040.32,45171.54,C501794646,14779.86,16648.64,0,0
669,CASH_IN,15116.36,C100981851,22869.82,7753.46,C183156238,17408.9,32525.26,0,0
340,CASH_IN,2830.42,C413289430,3895.64,1065.22,C520374694,621.39,3451.81,0,0
487,CASH_IN,4245.26,C470420116,168867.24,164621.98,C945124106,23364.34,27609.6,0,0
733,TRANSFER,6496.99,C841873046,2265.54,0.0,C860726423,792.81,7289.8,0,0
554,CASH_IN,16447.9,C152385253,2244.32,0.0,C332719721,5484.42,21932.32,0,0
522,TRANSFER,23681.76,C719631786,34576.52,10894.76,C786037629,6917.07,30598.83,0,0
293,CASH_IN,8019.71,C374105773,1081.33,0.0,C785108889,57950.52,65970.23,0,0
63,CASH_IN,2060.25,C402629335,2293.07,232.82,C165966225,762.03,2822.28,0,0
248,DEBIT,9837.43,C168584592,20524.46,10687.03,C474275212,984064.16,993901.59,0,0
395,PAYMENT,4453.54,C646503654,32392.96,27939.42,M464997557,8702.4,13155.94,0,0
704,CASH_IN,13598.21,C329326428,301.85,0.0,C995111822,4685.02,18283.23,0,0
196,DEBIT,682.94,C660966411,4709.39,4026.45,C781080247,2479.02,3161.96,0,0
282,CASH_IN,6978.77,C653032433,2531.43,0.0,C793343260,10477.67,17456.44,0,0
489,CASH_OUT,11170.13,C433175966,2172.37,0.0,C591861241,7719.89,18890.02,0,0
361,DEBIT,818.96,C642976037,189.85,0.0,C153621249,5237.08,6056.04,0,0
44,CASH_OUT,520.95,C770514618,1337.35,816.4,C786294662,1042.39,1563.34,0,0
106,CASH_IN,3377.31,C533057132,33048.19,29670.88,C654393971,1563.44,4940.75,0,0
391,DEBIT,3592.81,C402615057,19896.58,16303.77,C580369204,43266.11,46858.92,0,0
499,CASH_IN,556.07,C975788656,2839.18,2283.11,C584046001,4052.2,4608.27,0,0
269,TRANSFER,8121.32,C138753165,2455.8,0.0,C197936506,3143.29,11264.61,0,0
39,TRANSFER,13384.1,C266180587,387.58,0.0,C596701882,16349.64,29733.74,0,0
415,CASH_IN,43210.46,C751019699,30884.83,0.0,C665985718,8671.11,51881.57,0,0
662,TRANSFER,381.25,C855145684,11940.37,11559.12,C319264448,1353.82,1735.07,0,0
719,PAYMENT,2163.81,C210413630,54564.47,52400.66,M568077832,6554.13,8717.94,0,0
110,CASH_IN,538.28,C492789405,1793.72,1255.44,C654004494,35985.51,36523.79,0,0
435,PAYMENT,1031.05,C957740558,1176.43,145.38,M655510091,58590.04,59621.09,0,0
116,PAYMENT,2062.94,C191469330,13402.81,11339.87,M710690903,6708.96,8771.9,0,0
482,TRANSFER,2920.63,C987556863,4761.33,1840.7,C992928535,2578.47,5499.1,0,0
450,PAYMENT,7413.84,C482518213,85916.94,78503.1,M721849498,14696.37,22110.21,0,0
207,TRANSFER,2674.25,C812959837,5479.51,2805.26,C313896048,2060.56,4734.81,0,0
424,CASH_OUT,3327.82,C170515727,406.12,0.0,C611627667,40764.1,44091.92,0,0
737,CASH_IN,21322.76,C444507463,345.57,0.0,C130154837,26980.5,48303.26,0,0
550,DEBIT,10502.13,C322671897,123429.66,112927.53,C502571541,2905.8,13407.93,0,0
262,CASH_OUT,1197.11,C482828761,2166.49,969.38,C791085813,3819.06,5016.17,0,0
69,TRANSFER,11257.32,C731427251,458.3,0.0,C473423258,6668.86,17926.18,0,0
336,PAYMENT,3151.42,C572158255,6171.0,3019.58,M857620702,64408.82,67560.24,0,0
559,CASH_OUT,4533.44,C496873790,18007.19,13473.75,C365121603,293268.91,297802.35,0,0
246,DEBIT,2779.25,C365713640,3726.02,946.77,C721162257,307495.75,310275.0,0,0
522,TRANSFER,117.72,C275121354,1601.57,1483.85,C403105147,3260.47,3378.19,0,0
398,CASH_OUT,9377.8,C529689726,62634.13,53256.33,C808087800,90.56,9468.36,0,0
97,CASH_OUT,2430.62,C602644932,10210.74,7780.12,C934057702,11460.17,13890.79,0,0
344,PAYMENT,135.31,C700820902,71321.9,71186.59,M146508439,1978.0,2113.31,0,0
698,CASH_IN,3115.67,C454604182,650.83,0.0,C679204098,3384.33,6500.0,0,0
436,DEBIT,8631.63,C559300570,7678.52,0.0,C688467437,3429.94,12061.57,0,0
620,PAYMENT,8392.53,C323357083,318.67,0.0,M104617588,11356.22,19748.75,0,0
7,CASH_OUT,8592.28,C262806001,55813.78,47221.5,C946852780,43638.65,52230.93,0,0
350,TRANSFER,1443.86,C319589386,1499.45,55.59,C269211291,4788.65,6232.51,0,0
184,PAYMENT,5419.44,C614311438,16145.75,10726.31,M909547419,91809.2,97228.64,0,0
441,PAYMENT,926.18,C736220988,40656.6,39730.42,M701483985,2214.03,3140.21,0,0
262,CASH_OUT,585.18,C440006560,88921.68,88336.5,C174767184,105567.33,106152.51,0,0
728,DEBIT,1300.38,C165745223,3401.08,2100.7,C276744903,5985.41,7285.79,0,0
129,DEBIT,126.94,C656046834,2536.59,2409.65,C497946637,14446.26,14573.2,0,0
437,DEBIT,2627.51,C214348500,51132.19,48504.68,C356144513,98377.78,101005.29,0,0
558,CASH_IN,2590.76,C601561699,189392.63,186801.87,C978518852,1977.84,4568.6,0,0
8,CASH_OUT,683.98,C674635345,2127.11,1443.13,C705915629,1369.03,2053.01,0,0
129,PAYMENT,3248.09,C875306346,1877.21,0.0,M108560683,34114.84,37362.93,0,0
230,PAYMENT,344.81,C696538618,8674.6,8329.79,M867751816,17445.98,17790.79,0,0
496,CASH_OUT,9306.06,C951861812,527.56,0.0,C610151726,2823.04,12129.1,0,0
467,PAYMENT,45731.22,C901972909,60986.96,15255.74,M911392745,178500.12,224231.34,0,0
124,CASH_IN,,C915995939,7810.97,0.0,C638226709,704.19,26324.79,0,0
144,DEBIT,1964.31,C442565970,2882.11,917.8,C237730655,54138.61,56102.92,0,0
669,PAYMENT,1648.65,C641116823,8362.25,6713.6,M518690508,10200.39,11849.04,0,0
2,CASH_OUT,7822.16,C937768549,264.47,0.0,C746971470,5175.31,12997.47,0,0
9,CASH_IN,2132.43,C575222427,45120.31,42987.88,C189060646,847.33,2979.76,0,0
75,CASH_OUT,4493.99,C151593244,141.19,0.0,C988285493,2989.0,7482.99,0,0
734,CASH_OUT,1931.58,C399206819,2059.54,127.96,C251196040,4419.15,6350.73,0,0
303,CASH_OUT,2970.26,C824921422,18917.75,15947.49,C411672240,636.3,3606.56,0,0
222,PAYMENT,,C827793478,3770.49,0.0,M155651033,21159.37,31515.01,0,0
675,DEBIT,1823.88,C619077362,418.5,0.0,C982240807,462.52,2286.4,0,0
481,PAYMENT,919.52,C200862648,9906.6,8987.08,M913242686,3864.32,4783.84,0,0
729,TRANSFER,775.51,C558695184,14713.11,13937.6,C229181373,2108.25,2883.76,0,0
597,TRANSFER,1136.65,C777420300,55235.24,54098.59,C609744704,4164.88,5301.53,0,0
386,CASH_IN,722.24,C491662987,67252.84,66530.6,C862116909,7092.15,7814.39,0,0
445,TRANSFER,1847.93,C475666832,8580.3,6732.37,C928800626,81819.68,83667.61,0,0
413,PAYMENT,12615.15,C926421753,2306.73,0.0,M588830580,13401.3,26016.45,0,0
304,PAYMENT,5850.06,C143692620,29674.74,23824.68,M752035795,139754.76,145604.82,0,0
741,TRANSFER,415.29,C831498898,52825.77,52410.48,C505474620,176079.24,176494.53,0,0
241,TRANSFER,198.63,C309134166,9793.83,9595.2,C408778157,55311.27,55509.9,0,0
17,DEBIT,433.3,C118753331,390903.11,390469.81,C760343984,154655.08,155088.38,0,0
156,DEBIT,,C273384473,6673.21,0.0,C984892178,2521.48,67881.24,0,0
142,DEBIT,35228.74,C824200423,4805.9,0.0,C507873572,5508545.62,5543774.36,0,0
201,DEBIT,8010.0,C937874378,486193.24,478183.24,C592732640,7773.78,15783.78,0,0
206,TRANSFER,7725.21,C845775496,1198.35,0.0,C295742031,671.84,8397.05,0,0
91,CASH_OUT,798.1,C722185513,3952.36,3154.26,C181538656,2013.29,2811.39,0,0
250,DEBIT,3389.17,C769764671,3860.79,471.62,C855291929,64551.99,67941.16,0,0
470,CASH_IN,4186.69,C122818301,9740.34,5553.65,C488528937,2406.53,6593.22,0,0
490,DEBIT,4570.4,C821298838,9835.91,5265.51,C361184112,346304.14,350874.54,0,0
52,PAYMENT,839.15,C918473705,11521.83,10682.68,M222425531,1119.3,1958.45,0,0
505,DEBIT,,C946742958,43274.85,42668.91,C787774320,839.57,1445.51,0,0
118,TRANSFER,3903.08,C188708282,513.27,0.0,C452995849,37796.95,41700.03,0,0
719,CASH_IN,17370.8,C203275423,22600.2,5229.4,C147090260,79157.82,96528.62,0,0
407,CASH_IN,9257.52,C861110278,131643.35,122385.83,C989921576,4211.94,13469.46,0,0
430,CASH_OUT,7332.78,C109570651,12583.38,5250.6,C132996092,2062.16,9394.94,0,0
34,TRANSFER,2718.36,C244472303,422.72,0.0,C530920206,873.47,3591.83,0,0
574,DEBIT,200.16,C713987691,289.67,89.51,C870697312,13794.72,13994.88,0,0
686,CASH_OUT,360.12,C380949032,8667.0,8306.88,C603291093,9646.84,10006.96,0,0
613,DEBIT,1500.64,C589319504,246144.33,244643.69,C697328599,686.0,2186.64,0,0
226,CASH_OUT,11816.62,C442141929,-354784.38,342967.76,C410335417,335.1,12151.72,0,0
513,TRANSFER,12277.69,C866361755,920.96,0.0,C322281728,9912.45,22190.14,0,0
504,DEBIT,1936.68,C195840932,16364.73,14428.05,C744377168,557.15,2493.83,0,0
111,CASH_OUT,2548.86,C404607709,4335.61,1786.75,C712521417,75248.94,77797.8,0,0
484,PAYMENT,6246.89,C712177133,7582.51,1335.62,M198021549,15622.71,21869.6,0,0
394,DEBIT,1165.39,C360345859,193492.82,192327.43,C863302178,56788.26,57953.65,0,0
424,TRANSFER,,C780290934,1178310.25,1178090.75,C515901668,62163.94,62383.44,0,0
696,DEBIT,6153.59,C993089494,91784.19,85630.6,C357767987,1542.98,7696.57,0,0
24,CASH_OUT,5874.56,C322982284,30138.58,24264.02,C198375408,300.52,6175.08,0,0
710,PAYMENT,650.89,C248937726,264.88,0.0,M977555023,532.92,1183.81,0,0
434,PAYMENT,25297.69,C491773126,35102.84,9805.15,M257037633,28136.33,53434.02,0,0
146,TRANSFER,1836.51,C433265776,97760.77,95924.26,C521814526,3314.82,5151.33,0,0
342,TRANSFER,,C383327863,1773.18,0.0,C735917832,14648.23,19816.92,0,0
738,CASH_OUT,3246.48,C634787827,10240.71,6994.23,C819203604,7738.81,10985.29,0,0
