date,base_currency,quote_currency,exchange_rate,ecb_main_refinancing_rate,inflation_rate_yoy
2022-01-10,EUR,CHF,0.952668,3.5907,2.88
2022-01-10,EUR,DKK,7.484371,3.3364,0.93
2022-01-10,EUR,RON,4.94005,3.5071,1.68
2022-01-10,EUR,HUF,386.247984,3.5393,1.93
2022-01-10,EUR,CZK,25.249686,3.5916,3.58
2022-01-10,EUR,BGN,1.960655,3.4207,3.88
2022-01-10,EUR,NOK,11.399176,3.4355,2.67
2022-01-11,EUR,BGN,1.944693,3.5119,3.31
2022-01-11,EUR,HUF,382.391539,3.5291,1.33
2022-01-11,EUR,RON,4.982956,3.4309,2.85
2022-01-11,EUR,PLN,4.334857,3.4768,5.67
2022-01-11,EUR,USD,1.075706,3.5787,2.07
2022-01-11,EUR,CZK,25.010026,3.5942,1.52
2022-01-11,EUR,SEK,11.198202,3.3518,2.6
2022-01-11,EUR,NOK,11.526066,3.5847,2.09
2022-01-11,EUR,CHF,0.940579,3.4021,4.31
2022-01-11,EUR,GBP,0.858375,3.6115,4.4
2022-01-12,EUR,SEK,11.233146,3.4644,3.41
2022-01-12,EUR,BGN,1.962586,3.4363,
2022-01-12,EUR,JPY,159.811574,3.4203,-0.36
2022-01-12,EUR,PLN,4.305653,3.7952,4.03
2022-01-12,EUR,CHF,0.954466,3.572,0.81
2022-01-12,EUR,DKK,7.463288,3.3899,3.72
2022-01-12,EUR,NOK,11.393006,3.5863,2.7
2022-01-12,EUR,GBP,0.862521,3.3084,3.47
2022-01-12,EUR,CZK,24.891834,3.4722,4.06
2022-01-12,EUR,USD,1.085331,3.574,2.75
2022-01-12,EUR,HUF,385.549068,3.4129,0.83
2022-01-13,EUR,CHF,0.94439,3.4471,3.39
2022-01-13,EUR,BGN,1.955459,3.5738,2.74
2022-01-13,EUR,GBP,0.860929,3.4225,2.67
2022-01-13,EUR,CZK,24.903445,3.5452,2.72
2022-01-13,EUR,SEK,11.257271,3.5091,2.84
2022-01-13,EUR,PLN,4.321142,3.4812,3.66
2022-01-13,EUR,USD,1.077426,3.6989,3.11
2022-01-13,EUR,HUF,383.703693,3.3442,1.08
2022-01-13,EUR,RON,4.974604,3.3275,1.04
2022-01-13,EUR,DKK,7.458604,3.3485,3.05
2022-01-13,EUR,NOK,11.446532,3.5398,1.99
2022-01-14,EUR,NOK,11.49492,3.4188,2.38
2022-01-14,EUR,PLN,4.315436,3.4734,2.16
2022-01-14,EUR,RON,4.952592,3.4079,3.41
2022-01-14,EUR,CZK,24.922152,3.5271,2.63
2022-01-14,EUR,GBP,0.864915,3.4953,3.53
2022-01-14,EUR,USD,1.083606,3.3593,3.79
2022-01-14,EUR,SEK,11.235893,3.5049,2.39
2022-01-14,EUR,DKK,7.426014,3.4953,1.5
2022-01-14,EUR,CHF,0.948117,3.4179,0.34
2022-01-14,EUR,BGN,1.957352,3.5689,1.62
2022-01-14,EUR,JPY,159.727613,3.4784,1.46
2022-01-17,EUR,CHF,0.946957,3.3641,1.37
2022-01-17,EUR,JPY,157.862701,3.6079,4.46
2022-01-17,EUR,GBP,0.862218,3.5763,-0.33
2022-01-17,EUR,PLN,4.303286,3.6313,-0.22
2022-01-17,EUR,USD,1.085597,3.5617,1.3
2022-01-17,EUR,BGN,1.962459,3.4537,3.67
2022-01-17,EUR,CZK,25.09006,3.6009,2.81
2022-01-17,EUR,SEK,11.152953,3.4896,2.91
2022-01-17,EUR,HUF,386.19196,3.4444,3.81
2022-01-18,EUR,NOK,11.556696,3.4329,1.83
2022-01-18,EUR,RON,5.029012,3.512,2.56
2022-01-18,EUR,CHF,0.946038,3.6321,2.64
2022-01-18,EUR,JPY,157.682279,3.4337,1.61
2022-01-18,EUR,CZK,25.088884,3.4438,2.47
2022-01-18,EUR,USD,1.078678,3.2889,1.64
2022-01-18,EUR,HUF,384.749993,3.3798,2.43
2022-01-18,EUR,BGN,1.948268,3.5381,1.7
2022-01-18,EUR,PLN,4.33323,3.4547,1.87
2022-01-18,EUR,SEK,11.223245,3.5005,1.63
2022-01-19,EUR,CHF,0.948013,3.37,3.81
2022-01-19,EUR,BGN,1.967577,3.4601,2.06
2022-01-19,EUR,PLN,4.339228,3.3658,1.29
2022-01-19,EUR,SEK,11.155506,3.4842,3.37
2022-01-19,EUR,CZK,25.167138,3.3978,2.75
2022-01-19,EUR,USD,1.079945,3.5003,4.21
2022-01-19,EUR,JPY,157.744585,3.5434,2.67
2022-01-19,EUR,DKK,7.484646,3.3977,1.66
2022-01-19,EUR,NOK,11.599482,3.5453,2.56
2022-01-20,EUR,JPY,158.786286,3.4338,1.05
2022-01-20,EUR,GBP,0.864913,3.4824,1.64
2022-01-20,EUR,RON,4.953358,3.7268,0.3
2022-01-20,EUR,NOK,11.578178,3.3307,5.27
2022-01-20,EUR,HUF,381.388018,3.5205,3.33
2022-01-20,EUR,CHF,0.950297,3.4217,0.98
2022-01-20,EUR,BGN,1.956475,3.414,4.53
2022-01-20,EUR,PLN,4.311514,3.3997,1.99
2022-01-20,EUR,USD,1.075295,3.329,2.12
2022-01-20,EUR,SEK,11.172376,3.6092,2.8
2022-01-20,EUR,CZK,24.852737,3.6254,1.71
2022-01-21,EUR,RON,4.950447,3.6067,1.91
2022-01-21,EUR,USD,1.08466,3.3925,2.46
2022-01-21,EUR,HUF,384.711917,3.4659,2.05
2022-01-21,EUR,BGN,1.973027,3.3759,1.27
2022-01-21,EUR,PLN,4.304744,3.6744,1.87
2022-01-21,EUR,JPY,158.782833,3.5161,1.04
2022-01-21,EUR,NOK,11.584335,3.4286,1.03
2022-01-21,EUR,GBP,0.856446,3.377,2.83
2022-01-21,EUR,CZK,24.898862,3.4336,0.44
2022-01-21,EUR,CHF,0.955901,3.5382,2.21
2022-01-21,EUR,SEK,11.178329,3.4581,3.0
2022-01-21,EUR,DKK,7.470164,3.4854,4.44
2022-01-24,EUR,CHF,0.948069,3.5738,2.46
2022-01-24,EUR,USD,1.088393,3.5102,1.29
2022-01-24,EUR,PLN,4.308273,3.5013,5.42
2022-01-24,EUR,BGN,1.974562,3.4216,3.06
2022-01-24,EUR,NOK,11.524152,3.4775,3.71
2022-01-24,EUR,CZK,25.067781,3.467,2.4
2022-01-24,EUR,GBP,0.85828,3.2415,2.25
2022-01-24,EUR,DKK,7.438824,3.5394,1.4
2022-01-24,EUR,JPY,158.348022,3.531,3.65
2022-01-24,EUR,SEK,11.177948,3.5121,2.47
2022-01-25,EUR,JPY,157.741136,3.4965,1.21
2022-01-25,EUR,PLN,4.30945,3.4487,1.43
2022-01-25,EUR,BGN,1.97905,3.5014,2.05
2022-01-25,EUR,USD,1.081068,3.358,1.25
2022-01-25,EUR,GBP,0.854336,3.6164,3.45
2022-01-25,EUR,CHF,0.950047,3.4133,3.46
2022-01-25,EUR,NOK,11.417496,3.5907,1.79
2022-01-25,EUR,HUF,385.398326,3.4578,3.49
2022-01-25,EUR,CZK,25.117132,3.6515,2.44
2022-01-25,EUR,SEK,11.296174,3.407,3.2
2022-01-26,EUR,SEK,11.202343,3.5405,0.04
2022-01-26,EUR,DKK,7.463991,3.4198,2.63
2022-01-26,EUR,BGN,1.950312,3.6088,3.28
2022-01-26,EUR,RON,4.983629,3.4206,0.25
2022-01-26,EUR,PLN,4.314473,3.7409,2.19
2022-01-26,EUR,CZK,25.208149,3.3283,2.88
2022-01-26,EUR,CHF,0.954611,3.4663,2.45
2022-01-26,EUR,GBP,0.860102,3.5019,2.9
2022-01-26,EUR,HUF,385.429276,3.438,4.56
2022-01-26,EUR,NOK,11.407121,3.2496,1.85
2022-01-26,EUR,USD,1.085746,3.6136,1.56
2022-01-27,EUR,GBP,0.856761,3.5819,0.81
2022-01-27,EUR,USD,1.084785,3.5353,2.82
2022-01-27,EUR,JPY,160.518277,3.5565,0.79
2022-01-27,EUR,DKK,7.466469,3.3999,2.11
2022-01-27,EUR,SEK,11.201998,3.5824,1.73
2022-01-27,EUR,BGN,1.973191,3.5506,3.72
2022-01-27,EUR,CHF,0.953922,3.5155,1.68
2022-01-27,EUR,PLN,4.284795,3.5319,4.78
2022-01-27,EUR,RON,4.970103,3.4739,1.61
2022-01-27,EUR,NOK,11.506522,3.5474,0.96
2022-01-28,EUR,BGN,1.94766,3.6578,2.17
2022-01-28,EUR,USD,1.078303,3.3086,2.39
2022-01-28,EUR,NOK,11.422484,3.5298,1.75
2022-01-28,EUR,RON,5.019163,3.4827,2.65
2022-01-28,EUR,GBP,0.860404,3.5992,1.72
2022-01-28,EUR,CZK,25.037705,3.592,2.21
2022-01-28,EUR,DKK,7.387167,3.6572,1.12
2022-01-28,EUR,JPY,159.630534,3.5898,2.56
2022-01-28,EUR,CHF,0.946586,3.4911,0.54
2022-01-28,EUR,HUF,383.513949,3.6972,0.75
2022-01-31,EUR,CZK,25.014835,3.3255,1.88
2022-01-31,EUR,USD,1.086311,3.4511,3.16
2022-01-31,EUR,DKK,7.489603,3.5885,2.42
2022-01-31,EUR,SEK,11.228909,3.3902,
2022-01-31,EUR,GBP,0.864467,3.6298,2.11
2022-01-31,EUR,NOK,11.555892,3.3893,1.47
2022-01-31,EUR,BGN,1.965711,3.4375,3.29
2022-01-31,EUR,PLN,4.342398,3.7146,2.45
2022-01-31,EUR,CHF,0.951743,3.6692,2.83
2022-01-31,EUR,RON,4.984773,3.629,1.06
2022-01-31,EUR,JPY,157.42109,3.3116,0.64
2022-02-01,EUR,SEK,11.295612,3.4433,3.93
2022-02-01,EUR,JPY,158.400494,3.373,0.99
2022-02-01,EUR,BGN,1.957791,3.3683,3.34
2022-02-01,EUR,PLN,4.329738,3.5376,2.95
2022-02-01,EUR,DKK,7.43288,3.4033,0.61
2022-02-01,EUR,HUF,387.802817,3.5501,3.6
2022-02-01,EUR,USD,1.079051,3.4147,2.65
2022-02-01,EUR,GBP,0.862534,3.3835,1.81
2022-02-01,EUR,NOK,11.523341,3.3771,1.05
2022-02-02,EUR,CZK,25.038866,3.3014,3.73
2022-02-02,EUR,HUF,381.131181,3.6821,2.8
2022-02-02,EUR,SEK,11.325406,3.4156,1.68
2022-02-02,EUR,JPY,158.681043,3.5513,3.35
2022-02-02,EUR,USD,1.074758,3.4411,6.16
2022-02-02,EUR,BGN,1.967196,3.4228,3.74
2022-02-02,EUR,NOK,11.463617,3.4499,2.66
2022-02-02,EUR,CHF,0.946951,3.3713,1.67
2022-02-02,EUR,DKK,7.440845,3.5676,1.85
2022-02-02,EUR,RON,4.998121,3.4453,0.71
2022-02-02,EUR,GBP,0.864355,3.4975,3.82
2022-02-03,EUR,CHF,0.95234,3.4673,4.21
2022-02-03,EUR,PLN,4.32066,3.5661,2.71
2022-02-03,EUR,DKK,7.508654,3.5607,0.95
2022-02-03,EUR,BGN,1.974113,3.4951,3.3
2022-02-03,EUR,HUF,386.348083,3.8006,3.08
2022-02-03,EUR,JPY,159.238684,3.4255,3.91
2022-02-03,EUR,USD,1.080354,3.6777,2.37
2022-02-03,EUR,GBP,0.869081,3.5883,2.12
2022-02-03,EUR,RON,4.956439,3.4087,5.76
2022-02-03,EUR,CZK,24.864359,3.5471,4.06
2022-02-03,EUR,SEK,11.239303,3.5283,1.22
2022-02-03,EUR,NOK,11.536502,3.566,4.49
2022-02-04,EUR,USD,1.079546,3.4608,1.94
2022-02-04,EUR,DKK,7.460089,3.5113,2.24
2022-02-04,EUR,PLN,4.314369,3.3247,2.83
2022-02-04,EUR,BGN,1.965176,3.3944,0.19
2022-02-04,EUR,GBP,0.857811,3.4091,3.34
2022-02-04,EUR,RON,4.965585,3.4267,2.06
2022-02-04,EUR,CZK,25.163859,3.4343,1.23
2022-02-04,EUR,NOK,11.575171,3.4501,2.88
2022-02-04,EUR,JPY,158.393716,3.4167,2.17
2022-02-04,EUR,SEK,11.215639,3.5128,1.01
2022-02-04,EUR,CHF,0.951931,3.4087,2.33
2022-02-04,EUR,HUF,383.020987,3.3514,3.52
2022-02-07,EUR,PLN,4.31915,3.6541,4.19
2022-02-07,EUR,DKK,7.436946,3.4211,1.64
2022-02-07,EUR,CZK,25.274352,3.4713,3.31
2022-02-07,EUR,USD,1.082017,3.4727,1.55
2022-02-07,EUR,NOK,11.393189,3.5304,2.56
2022-02-07,EUR,RON,4.996041,3.6778,3.32
2022-02-07,EUR,BGN,1.954984,3.369,2.31
2022-02-07,EUR,CHF,0.947535,3.7303,2.1
2022-02-07,EUR,HUF,386.121498,3.3955,4.91
2022-02-07,EUR,SEK,11.186177,3.6199,1.79
2022-02-08,EUR,JPY,157.370935,3.5852,1.57
2022-02-08,EUR,CHF,0.951142,3.4717,4.06
2022-02-08,EUR,HUF,382.778735,3.4844,
2022-02-08,EUR,GBP,0.862138,3.5321,4.26
2022-02-08,EUR,USD,1.082992,3.5427,2.03
2022-02-08,EUR,RON,4.908188,3.4472,2.49
2022-02-08,EUR,BGN,1.958292,3.6123,3.19
2022-02-08,EUR,SEK,11.186302,3.458,2.99
2022-02-08,EUR,CZK,25.135456,3.2695,5.17
2022-02-08,EUR,NOK,11.55878,3.6135,3.21
2022-02-08,EUR,PLN,4.355387,3.5151,3.04
2022-02-09,EUR,CZK,25.096469,3.5129,2.29
2022-02-09,EUR,CHF,0.950764,3.4274,1.66
2022-02-09,EUR,JPY,157.638891,3.4573,4.32
2022-02-09,EUR,PLN,4.31818,3.3595,1.92
2022-02-09,EUR,HUF,384.730631,3.5807,3.19
2022-02-09,EUR,NOK,11.478094,3.6658,-0.26
2022-02-09,EUR,USD,1.089372,3.5562,2.39
2022-02-09,EUR,RON,4.976869,3.3679,1.16
2022-02-09,EUR,BGN,1.956206,3.5028,0.3
2022-02-09,EUR,GBP,0.866751,3.4224,3.36
2022-02-09,EUR,SEK,11.080558,3.5808,1.37
2022-02-10,EUR,SEK,11.256044,3.5629,
2022-02-10,EUR,USD,1.083321,3.4884,2.9
2022-02-10,EUR,RON,4.967949,3.3969,2.54
2022-02-10,EUR,PLN,4.329319,3.3286,
2022-02-10,EUR,NOK,11.621912,3.6881,1.56
2022-02-10,EUR,CHF,0.950635,3.5977,1.47
2022-02-10,EUR,CZK,25.037109,3.5622,2.33
2022-02-10,EUR,BGN,1.948908,3.6039,1.74
2022-02-10,EUR,GBP,0.86339,3.5392,2.41
2022-02-11,EUR,HUF,386.245334,3.5199,2.65
2022-02-11,EUR,RON,4.974312,3.5384,2.03
2022-02-11,EUR,JPY,158.032042,3.7141,1.78
2022-02-11,EUR,CHF,0.947529,3.4498,1.79
2022-02-11,EUR,CZK,25.03019,3.6435,2.03
2022-02-11,EUR,SEK,11.183015,3.3386,1.76
2022-02-11,EUR,BGN,1.967842,3.5518,2.98
2022-02-11,EUR,NOK,11.484046,3.5274,4.28
2022-02-11,EUR,PLN,4.336453,3.2841,2.87
2022-02-11,EUR,GBP,0.864716,3.7131,6.05
2022-02-11,EUR,USD,1.080524,3.6606,1.77
2022-02-11,EUR,DKK,7.518658,3.5823,3.93
2022-02-14,EUR,PLN,4.344197,3.4598,1.91
2022-02-14,EUR,USD,1.093501,3.4553,2.56
2022-02-14,EUR,NOK,11.509755,3.3548,1.49
2022-02-14,EUR,CHF,0.954764,3.5755,2.52
2022-02-14,EUR,RON,5.009077,3.3701,2.96
2022-02-14,EUR,GBP,0.862204,3.4985,3.26
2022-02-14,EUR,BGN,1.972031,3.5325,1.42
2022-02-14,EUR,DKK,7.497759,3.5574,1.53
2022-02-14,EUR,CZK,25.181348,3.6178,2.0
2022-02-14,EUR,HUF,383.803693,3.4959,1.77
2022-02-15,EUR,SEK,11.27066,3.4276,3.75
2022-02-15,EUR,CZK,25.178498,3.4847,2.21
2022-02-15,EUR,USD,1.079033,3.5913,0.97
2022-02-15,EUR,DKK,7.44505,3.4671,2.09
2022-02-15,EUR,BGN,1.961466,3.3147,-0.21
2022-02-15,EUR,HUF,383.928885,3.2582,2.62
2022-02-15,EUR,PLN,4.325827,3.4004,3.19
2022-02-15,EUR,RON,4.959266,3.5187,
2022-02-15,EUR,NOK,11.551146,3.5744,2.92
2022-02-15,EUR,JPY,157.668876,3.4398,3.39
2022-02-15,EUR,GBP,0.86305,3.616,0.47
2022-02-16,EUR,CHF,0.943652,3.4876,1.7
2022-02-16,EUR,JPY,158.232094,,1.73
2022-02-16,EUR,RON,4.963174,3.4262,2.49
2022-02-16,EUR,DKK,7.467184,3.5881,1.8
2022-02-16,EUR,SEK,11.265051,3.7464,2.69
2022-02-16,EUR,CZK,25.268973,3.5301,3.45
2022-02-16,EUR,HUF,385.329146,3.3673,1.02
2022-02-16,EUR,GBP,0.858012,3.2462,3.95
2022-02-17,EUR,GBP,0.861761,3.4678,1.55
2022-02-17,EUR,BGN,1.951939,3.3685,3.45
2022-02-17,EUR,SEK,11.12804,3.6385,1.09
2022-02-17,EUR,USD,1.074248,3.4995,3.65
2022-02-17,EUR,HUF,387.095415,3.5085,2.39
2022-02-17,EUR,RON,5.010174,3.6475,2.87
2022-02-17,EUR,DKK,7.41806,3.415,3.55
2022-02-17,EUR,CHF,0.944358,3.3734,2.18
2022-02-17,EUR,PLN,4.290758,3.4879,3.66
2022-02-17,EUR,JPY,158.963398,3.5161,2.63
2022-02-17,EUR,NOK,11.44159,3.4221,1.51
2022-02-18,EUR,DKK,7.449296,3.5,2.38
2022-02-18,EUR,RON,4.968128,3.447,1.27
2022-02-18,EUR,GBP,0.855289,3.4605,2.31
2022-02-18,EUR,CHF,0.955662,3.4548,1.54
2022-02-18,EUR,CZK,25.255319,3.4842,0.23
2022-02-18,EUR,JPY,158.170397,3.6106,3.45
2022-02-18,EUR,USD,1.079245,3.5888,4.04
2022-02-18,EUR,NOK,11.54613,3.5372,-0.2
2022-02-18,EUR,PLN,4.363674,3.4489,2.66
2022-02-21,EUR,RON,4.964422,3.5511,1.51
2022-02-21,EUR,CZK,25.322263,3.5469,0.6
2022-02-21,EUR,GBP,0.859116,3.5043,3.38
2022-02-21,EUR,PLN,4.327019,3.5301,2.7
2022-02-21,EUR,SEK,11.283006,3.6731,1.73
2022-02-21,EUR,NOK,11.448272,3.4942,1.51
2022-02-21,EUR,CHF,0.955812,3.5218,2.21
2022-02-21,EUR,DKK,7.454437,3.5171,2.48
2022-02-21,EUR,HUF,384.176716,3.5961,1.01
2022-02-21,EUR,JPY,160.780617,3.4326,2.77
2022-02-21,EUR,USD,1.072497,3.4402,
2022-02-22,EUR,BGN,1.938926,3.4753,1.34
2022-02-22,EUR,HUF,388.03005,3.533,2.63
2022-02-22,EUR,SEK,11.165969,3.2872,2.04
2022-02-22,EUR,NOK,11.567628,3.3365,3.04
2022-02-22,EUR,GBP,0.866086,3.4582,1.83
2022-02-22,EUR,CHF,0.943948,3.5888,0.5
2022-02-22,EUR,DKK,7.492055,3.5007,2.05
2022-02-22,EUR,JPY,158.572924,3.3819,1.57
2022-02-22,EUR,USD,1.075885,3.546,2.93
2022-02-22,EUR,CZK,25.0501,3.5571,4.43
2022-02-22,EUR,PLN,4.289523,3.367,1.96
2022-02-22,EUR,RON,4.967695,3.5135,1.67
2022-02-23,EUR,DKK,7.455237,3.3841,1.77
2022-02-23,EUR,CHF,0.95196,3.6012,2.12
2022-02-23,EUR,HUF,387.458078,3.4415,2.21
2022-02-23,EUR,RON,4.99232,3.4143,2.03
2022-02-23,EUR,PLN,4.303101,3.4866,3.23
2022-02-23,EUR,SEK,11.201554,3.5957,2.73
2022-02-23,EUR,BGN,1.957662,3.4413,2.89
2022-02-23,EUR,CZK,24.96195,3.4374,2.11
2022-02-23,EUR,GBP,0.856398,3.4815,1.49
2022-02-23,EUR,NOK,11.671598,3.4254,-0.51
2022-02-23,EUR,JPY,159.918701,3.3842,1.76
2022-02-23,EUR,USD,1.086671,3.5001,2.34
2022-02-24,EUR,HUF,383.655518,3.5675,3.91
2022-02-24,EUR,GBP,0.860121,3.4617,2.01
2022-02-24,EUR,BGN,1.97008,3.4759,1.32
2022-02-24,EUR,PLN,4.293718,3.3408,0.85
2022-02-24,EUR,SEK,11.216736,3.3884,1.35
2022-02-24,EUR,NOK,11.575582,3.3061,2.85
2022-02-24,EUR,CZK,24.88718,3.6942,5.99
2022-02-24,EUR,CHF,0.954281,3.4465,2.49
2022-02-24,EUR,DKK,7.399786,3.4852,1.61
2022-02-24,EUR,USD,1.073638,3.535,0.91
2022-02-24,EUR,JPY,159.53842,3.6127,3.37
2022-02-25,EUR,SEK,11.249184,3.6271,3.5
2022-02-25,EUR,CHF,0.944497,3.7154,3.16
2022-02-25,EUR,NOK,11.448126,3.4987,2.35
2022-02-25,EUR,RON,4.996402,3.5184,1.54
2022-02-25,EUR,GBP,0.85416,3.2401,2.71
2022-02-25,EUR,HUF,385.592214,3.4087,1.03
2022-02-25,EUR,CZK,25.182958,3.514,2.54
2022-02-25,EUR,USD,1.0852,3.4885,0.66
2022-02-25,EUR,PLN,4.291737,3.3487,2.07
2022-02-25,EUR,JPY,159.117769,3.4476,3.59
2022-02-25,EUR,DKK,7.413429,3.3405,2.08
2022-02-25,EUR,BGN,1.943726,3.4581,1.12
2022-02-28,EUR,CZK,25.189918,3.6791,4.01
2022-02-28,EUR,PLN,4.314361,3.5409,2.61
2022-02-28,EUR,HUF,380.984227,3.1988,3.46
2022-02-28,EUR,JPY,158.231683,3.4706,2.52
2022-02-28,EUR,SEK,11.18578,3.3419,0.34
2022-02-28,EUR,USD,1.072986,3.4303,2.39
2022-02-28,EUR,DKK,7.320568,3.5568,1.48
2022-02-28,EUR,BGN,1.962206,3.4542,3.06
2022-02-28,EUR,NOK,11.554528,3.3563,2.69
2022-02-28,EUR,RON,4.957734,3.466,3.31
2022-02-28,EUR,CHF,0.9467,3.4046,2.15
2022-03-01,EUR,NOK,11.479122,3.4026,2.42
2022-03-01,EUR,HUF,385.550467,3.5849,2.9
2022-03-01,EUR,JPY,157.721816,3.4753,
2022-03-01,EUR,CZK,25.225058,3.5632,3.51
2022-03-01,EUR,SEK,11.246252,3.7187,4.26
2022-03-01,EUR,CHF,0.950716,3.6547,0.47
2022-03-01,EUR,USD,1.083257,3.5521,2.61
2022-03-01,EUR,DKK,7.464437,3.4787,2.21
2022-03-01,EUR,PLN,4.318639,3.4621,1.8
2022-03-01,EUR,GBP,0.859428,3.4593,2.04
2022-03-01,EUR,BGN,1.955473,3.5044,3.42
2022-03-02,EUR,CHF,0.95532,3.3487,2.04
2022-03-02,EUR,HUF,385.89071,3.5023,4.45
2022-03-02,EUR,BGN,1.964087,3.6585,3.21
2022-03-02,EUR,JPY,159.621569,3.5847,2.77
2022-03-02,EUR,SEK,11.25198,3.3767,3.71
2022-03-02,EUR,PLN,4.332991,3.3995,3.46
2022-03-02,EUR,NOK,11.392305,3.3978,2.05
2022-03-02,EUR,DKK,7.457388,3.6301,2.22
2022-03-02,EUR,RON,4.980795,3.5779,6.42
2022-03-02,EUR,GBP,0.855155,3.3711,3.01
2022-03-03,EUR,NOK,11.428781,3.3748,3.49
2022-03-03,EUR,RON,4.957414,3.5076,2.01
2022-03-03,EUR,HUF,384.576282,3.3437,1.85
2022-03-03,EUR,DKK,7.41299,3.566,2.93
2022-03-03,EUR,USD,1.086712,3.5552,1.97
2022-03-03,EUR,JPY,158.417054,3.5968,1.09
2022-03-03,EUR,GBP,0.863297,3.4685,0.89
2022-03-03,EUR,BGN,1.966464,3.6117,2.22
2022-03-03,EUR,SEK,11.156212,3.725,3.17
2022-03-03,EUR,CZK,25.094191,3.5637,2.4
2022-03-03,EUR,CHF,0.956722,3.5343,3.07
2022-03-04,EUR,SEK,11.2154,3.359,2.92
2022-03-04,EUR,JPY,159.362154,3.2958,0.14
2022-03-04,EUR,DKK,7.397089,3.4866,3.49
2022-03-04,EUR,USD,1.079814,3.4316,2.75
2022-03-04,EUR,CHF,0.955343,3.4276,2.36
2022-03-04,EUR,PLN,4.330966,3.5117,1.71
2022-03-04,EUR,GBP,0.859596,3.4957,1.77
2022-03-04,EUR,RON,4.952447,3.4756,1.53
2022-03-04,EUR,NOK,11.536759,3.5146,2.6
2022-03-07,EUR,CHF,0.947658,3.5334,3.59
2022-03-07,EUR,JPY,158.440703,3.564,4.17
2022-03-07,EUR,GBP,0.858885,3.5907,0.66
2022-03-07,EUR,HUF,387.124395,3.4426,4.28
2022-03-07,EUR,NOK,11.530643,3.4629,3.06
2022-03-07,EUR,PLN,4.337857,3.4976,0.25
2022-03-07,EUR,CZK,25.162005,3.6204,4.68
2022-03-07,EUR,SEK,11.168002,3.4019,3.03
2022-03-07,EUR,USD,1.074877,3.3444,1.44
2022-03-07,EUR,RON,4.942969,3.6778,3.43
2022-03-07,EUR,BGN,1.95971,3.4942,4.68
