cik,company_name,sic_code,sic_description,filing_type,filing_date,state_of_incorporation,fiscal_year_end,total_assets_usd,total_revenue_usd,employee_count,ceo_name,headquarters_address,ein
8374875,Perrier,6199,Finance Services,10-K,2025-02-01,FE,0930,,172511071.0,,,"Vicolo Gianluigi, 6 Piano 9, 07039, Valledoria (SS)",73-6155691
7522941,Kroker Schenk GmbH,6411,Insurance Agents,8-K,2023-07-08,BR,0930,334601324.0,374507151.0,44924.0,Mr Benjamin James,"Bohnbachgasse 9/4, 05761 Erfurt",51-7247255
4738590,Jones-Griffiths,7372,Software,DEF 14A,2024-03-27,AL,0331,1012068355.0,74524673.0,21431.0,Herr Xaver Wende,"25384 Jennifer Lights Suite 741, Tiffanyfurt, VI 37313",31-2617137
9965367,Holland-Williams,6159,Federal-Sponsored Credit,10-Q,2025-08-25,VS,0930,1200535348.0,4487287.0,450.0,Timo Hartmann,"chemin Suzanne Ramos, 35843 Saint Caroline",72-2372974
5822943,Mccoy Inc,6141,Personal Credit,8-K,2024-10-28,FL,0930,3999687748.0,21312379.0,14347.0,Dr Leonard Roberts,"Via de Paco Pagès 5, Cáceres, 17312",23-3788778
1945506,Trotta-Villadicani SPA,7372,Software,10-K,2025-11-28,RM,0630,10057649.0,6384548391.0,25896.0,Timothy Collins,"Flat 43B, Baker Lodge, Buckleyport, KA72 3LJ",26-4101014
2140673,Heintze AG & Co. KGaA,6035,Savings Institutions,13F-HR,2023-11-28,CZ,0331,,1467748822.0,15570.0,Uwe Austermühle B.Sc.,"64061 Jennifer View Apt. 323, Tiffanyland, HI 24209",91-3402268
9298908,Aubry S.A.R.L.,6411,Insurance Agents,10-Q,2026-04-20,MC,0331,3249699652.0,381116582.0,17790.0,Christian Evans,"100, avenue de Ferreira, 52932 Sainte Stéphane",78-5133583
6813390,Lemonnier,7372,Software,DEF 14A,2023-12-07,PU,0930,8006072461.0,161569496.0,46735.0,Kristin Hardin,"Vicolo Guarato, 297 Appartamento 88, 84018, San Pietro Di Scafati (SA)",96-6389326
6447964,Hall-Mitchell,6512,Real Estate,10-Q,2024-05-20,CI,0630,161963430.0,,38352.0,Dott. Lidia Gabba,"Camino Pepita Barón 98 Piso 9 , Valencia, 27405",95-6121645
6809536,Lloyd-Murphy,6141,Personal Credit,10-Q,2025-09-29,ME,0930,1904828689.0,172736086.0,6695.0,Anita Gritti,"Vicolo Pompeo, 0 Appartamento 7, 10015, Torre Balfredo (TO)",61-2940388
6497755,Howard PLC,6512,Real Estate,S-1,2025-06-24,NH,0930,283653284.0,4270137106.0,40351.0,Annamaria Sabbatini,"Stretto Ramona, 8 Appartamento 6, 18036, San Biagio Della Cima (IM)",20-8526706
1918370,Mohaupt Bohnbach KG,6035,Savings Institutions,8-K,2023-05-06,GA,1231,66107405505.0,5923094.0,34724.0,Anastasie Lejeune,"47977 Ann Walks, Abbottside, WA 55905",91-1791274
6176003,Distribuciones Salcedo & Asociados S.Com.,6211,Security Brokers,DEF 14A,2023-08-23,MA,1231,1048446729.0,,16979.0,Graciano Solana Rodrigo,"Kargestraße 4/7, 50505 Wolgast",67-8618668
5517181,Bonnet SA,6199,Finance Services,S-1,2025-11-02,SI,0630,43357308.0,370945100.0,24044.0,Vincent Johnson,"4502 Raymond Tunnel, New Christinashire, WV 41697",91-4604147
3368038,Garnier et Fils,6211,Security Brokers,8-K,2024-03-09,MT,0331,4181505918.0,919145822.0,34713.0,Bethany Bolton,"Felix-Schuster-Gasse 86, 57700 Auerbach",47-2881312
2997872,Desarrollo Avanzadas S.A.,6411,Insurance Agents,8-K,2025-10-23,NJ,0930,3167931328.0,7905940.0,46077.0,,"7597 Eric Harbor Apt. 149, Aaronville, AZ 29015",83-8708498
5361362,Fusani SPA,6159,Federal-Sponsored Credit,8-K,2025-09-13,SS,0630,114855583.0,2840334051.0,2451.0,Margherita Mogherini,"66302 Martinez Shore, Tracybury, NC 22386",52-4881711
9565525,Consultoría Garzón S.L.,6411,Insurance Agents,DEF 14A,2025-10-28,FL,1231,,1506199996.0,14615.0,Patrick du Fleury,"Fliegnerplatz 3-9, 15810 Pfaffenhofen an der Ilm",34-3093993
4653628,Marchand,6512,Real Estate,S-1,2024-09-19,OH,1231,11229022698.0,1261148228.0,4548.0,Univ.Prof. Sonja Eberth MBA.,"Eva-Marie-Junitz-Weg 6948, 84964 Beilngries",98-4372878
9743708,"Maderno, Littizzetto e Finotto Group",6159,Federal-Sponsored Credit,DEF 14A,2025-11-06,LU,0630,119417144.0,47083650.0,28041.0,,"046 Hendricks Ways Suite 259, Rodriguezland, IN 22639",14-9606373
9489734,Richard Verdier et Fils,6411,Insurance Agents,DEF 14A,2024-12-19,RC,0630,32518040.0,3025662719.0,36541.0,Dipl.-Ing. Sven Schulz B.Eng.,"94, avenue Pasquier, 43462 PaulBourg",18-6916088
9051705,Taylor-Curtis,6141,Personal Credit,DEF 14A,2026-02-28,SC,0331,153697588.0,,12914.0,John Perez,"19 Ellis Expressway, West Tinaton, B1G 3QY",11-5785550
8294648,Mülichen GmbH,6512,Real Estate,10-Q,2025-03-12,IN,0930,499411754.0,18932846.0,,David-Luc Samson,"Paseo Felix Castell 4 Piso 7 , Girona, 15734",97-2050167
4045723,Menard,6211,Security Brokers,10-K,2024-02-23,LA,0331,782100838.0,15611561.0,45368.0,Cristina Caparrós Seguí,"3, rue de Marchal, 02868 Ribeironec",49-7855064
4568629,Löchel,6211,Security Brokers,8-K,2024-02-15,OK,0630,73969685073.0,,31679.0,Cipriano Spanevello-Bova,"Paseo Odalys Doménech 97 Puerta 0 , Burgos, 16031",75-1838903
9587989,Petitjean,6035,Savings Institutions,DEF 14A,2023-06-27,FL,1231,911940587.0,193127.0,23396.0,Tina Connor,"chemin de Hamel, 64864 Richard-sur-Mer",64-9025652
5907962,Gomez PLC,6159,Federal-Sponsored Credit,8-K,2024-11-04,GO,0331,220957927.0,131067140.0,,Solveig Langern,"Studio 11q, Davies Ford, New Peter, M2 4ZT",73-2470058
8427157,Dias S.A.R.L.,6411,Insurance Agents,13F-HR,2023-09-15,TP,0331,574647115.0,160003758.0,,Nacio Aguilera Collado,"Cristina-Köhler-Gasse 5-9, 11370 Sonneberg",30-7668783
2095626,Henry SA,7372,Software,8-K,2025-11-30,IN,0630,181479003.0,,13806.0,Letizia Cantimori-Binaghi,"96, avenue de Lagarde, 26248 Saint Paulette",60-3290957
5310948,Finanzas Cabo S.Coop.,7372,Software,S-1,2024-08-15,LU,0331,7194344.0,269320411.0,17219.0,Fernando Elorza Guerrero,"Borgo Siffredi, 74 Appartamento 51, 35028, Arzerello (PD)",53-1883459
1486424,Wieloch,7372,Software,13F-HR,2026-03-14,KS,1231,779918027.0,2768780510.0,,Thierry du David,"71, avenue Dupré, 44677 Sainte Aurore",24-1809068
6709023,Willis-Davis,6512,Real Estate,S-1,2024-06-23,BS,0630,987118507.0,146408764.0,37893.0,Berta Chico-Mur,"Slavica-Mangold-Allee 84-33, 40288 Groß-Gerau",12-9913595
6710639,"Wilson, Gibson and Hess",6159,Federal-Sponsored Credit,10-Q,28-Sep-2024,BT,1231,137643860.0,4210888478.0,46205.0,Rocco Mortati,"C. José María Barroso 81, Ávila, 34171",20-7871926
5873938,Lagarde,6512,Real Estate,8-K,2024-08-14,BO,0630,1552103425.0,,42684.0,Fabrizio Sabbatini,"Callejón de Claudia Puente 98 Apt. 36 , Badajoz, 22269",47-7540806
9633551,"Binaghi, Nitto e Samele e figli",6199,Finance Services,DEF 14A,2024-11-30,NE,0930,22565069.0,199413168.0,40633.0,Holly Gardner-Evans,"Unit 4234 Box 9569, DPO AA 31642",95-8680964
7219517,Gregorio SPA,7372,Software,S-1,2024-03-27,GU,0630,122287436.0,81890770.0,36818.0,Pauline Lefort,"780 Zachary Inlet, Randyshire, CA 63552",
9225504,Briggs-West,6211,Security Brokers,8-K,2025-01-26,MD,0930,969954033.0,35324832.0,49479.0,Maja Zirme,"488 Daniel Walks Apt. 803, West James, PR 57113",76-3120948
2864986,Compañía Porcel S.C.P,6512,Real Estate,DEF 14A,2026-01-05,VA,1231,208647829.0,1566899632.0,11790.0,Dott. Valerio Farinelli,"rue Émilie Torres, 77439 Sainte Richardnec",28-2198851
8763837,Supermercados PL S.Com.,6411,Insurance Agents,13F-HR,2024-10-30,LU,1231,128118468.0,,9071.0,Derek Baxter,"Wilmsstraße 67, 25877 Stadtsteinach",48-9872064
4146255,Trubin KG,6512,Real Estate,13F-HR,2025-09-14,MS,0331,476338755.0,3486896206.0,5420.0,Samantha Holt,"Vicolo Pascarella, 419 Appartamento 3, 28844, Villadossola (VB)",69-1241402
9877175,Meyer S.A.,6211,Security Brokers,8-K,2023-08-23,KY,0930,89721138.0,47130807.0,21593.0,Dr Graham Phillips,"Pasadizo Olga Miranda 1, Teruel, 22395",22-5460657
8137934,Charrier,6159,Federal-Sponsored Credit,S-1,2025-12-12,MT,0630,286396059.0,165275433.0,34330.0,Macaria Gracia Valero,"chemin de Prévost, 09842 PerrinBourg",60-9780692
2392511,Atkinson-Espinoza,6035,Savings Institutions,10-Q,2026-01-07,ID,0630,9192653870.0,,41874.0,,"Piazza Laura, 21 Piano 3, 40131, Bologna (BO)",13-4521873
9435206,Brown-Bird,6512,Real Estate,8-K,2026-04-02,KS,0331,11381907398.0,59091516.0,35201.0,Tina Graham,"Flat 7, Joseph Ways, Fionamouth, WN4 4QQ",24-2374322
5123196,Minería Abella S.C.P,7372,Software,DEF 14A,2026-02-12,FL,0331,17894367725.0,490015549.0,35358.0,Aimé-Martin Blondel,"Contrada Pometta, 97, 15026, Carentino (AL)",20-5615449
1190530,Servicios PMQM S.Com.,6211,Security Brokers,10-K,2024-09-22,NE,0630,,,6955.0,Kimberley Davies,"107, chemin Navarro, 68513 Sainte Thierrynec",66-8851910
1788429,Dijoux,7372,Software,8-K,2024-05-18,MI,0930,837711889.0,29029747.0,9736.0,,"Alameda de Ambrosio Arteaga 90, Ciudad, 04889",81-8134099
4485061,Peterson LLC,6311,Insurance,10-Q,2024-05-16,CE,0930,5676815842.0,3455937564.0,5910.0,Guiomar de Bermudez,"73, chemin de Chartier, 53203 Blanchet",90-6252627
1346743,Herring-Bridges,6512,Real Estate,13F-HR,2024-05-10,PU,0331,,5903344.0,49136.0,Araceli Ugarte Fiol,"Boris-Zobel-Straße 995, 21572 Calau",11-6342149
3122930,Wright Group,6159,Federal-Sponsored Credit,13F-HR,2024-02-05,IN,0331,206752536.0,100895771.0,1359.0,Donna Higgins,"Strada Luchino, 77, 74012, Crispiano (TA)",25-3044480
5045508,Bernard Breton et Fils,7372,Software,DEF 14A,2024-09-12,PA,1231,365364071.0,213406756.0,733.0,Mrs Valerie Blackburn,"Helga-Weiß-Straße 2, 24688 Soest",41-9936187
8957610,"Bennett, Brown and Rose",6141,Personal Credit,8-K,2025-03-11,WY,0630,2211738520.0,8434973237.0,42407.0,Benita Süßebier,"rue de Traore, 06480 De Oliveiraboeuf",50-6864672
5082723,Lefort S.A.,6035,Savings Institutions,13F-HR,2025-06-05,MA,0331,1878366101.0,122067561.0,2819.0,Camille Durand,"40461 Nelson Manors Apt. 272, Bradleyshire, WA 36413",
1991043,Salmon,7372,Software,13F-HR,2025-09-28,CA,0930,47601637.0,,35112.0,Megan Hebert,"Flat 59, David Street, Ellisshire, L72 7SN",22-9427002
1716663,Blanchet,6035,Savings Institutions,8-K,2023-12-29,CR,0930,1412558197.0,,4047.0,Anatoli Wagenknecht B.Eng.,"Flat 84w, Begum Wells, Mohammadton, M1G 1UR",27-6022039
8734943,Comercial Fiol S.A.,6159,Federal-Sponsored Credit,10-Q,2025-03-14,OG,0331,202628885.0,34754649.0,4616.0,Andrew Beasley,"Via Alessandro, 4 Piano 1, 25128, Brescia (BS)",53-9907521
4450093,Guicciardini-Cagnin Group,6411,Insurance Agents,S-1,13-Jul-2023,VA,0331,38604586.0,647857530.0,9215.0,Prof. Sinaida Kitzmann MBA.,"Acceso Baltasar Mariño 665, Murcia, 13031",66-2323150
6849862,Patterson PLC,6159,Federal-Sponsored Credit,DEF 14A,2025-03-15,GU,0331,292869257.0,,37297.0,Denis Gosselin,"7740 Harris Pine, South Jimmytown, WY 81531",41-4506199
5059993,Edwards-Newman,6211,Security Brokers,DEF 14A,2024-02-24,FG,1231,,2869770471.0,46207.0,Adalberto Oliva González,"Heckerstr. 9669, 64940 Jessen",10-6601298
6398188,Harloff Drewes GmbH & Co. OHG,6512,Real Estate,S-1,2025-02-25,SD,1231,28708896230.0,77997875.0,24083.0,Vincentio Casalodi,"Studio 2, Bennett Forge, West Norman, ST00 5HS",91-5897248
5132400,"Rossini, Capecchi e Morucci e figli",6411,Insurance Agents,10-K,2024-10-03,KS,0930,1085330781.0,4609775677.0,25336.0,Silvia Fiebig,"Viale Barbarigo, 730 Appartamento 2, 42033, Valestra (RE)",58-5016612
9176265,Musatti-Carducci s.r.l.,7372,Software,DEF 14A,2024-12-22,AV,0630,,,23450.0,Ulf Ortmann,"Studio 6, Yvonne Fort, Oliviaport, G79 7XZ",
2940958,"Lovato, Bulzoni e Ferretti e figli",6211,Security Brokers,10-K,2026-01-15,GO,0331,,809287.0,19067.0,Donald Webb,"189 Joseph Spring, Josephtown, HI 05314",41-7591556
1714496,"Chen, Richardson and Ferguson",7372,Software,13F-HR,2024-02-24,LO,0630,15181462.0,55166883030.0,33346.0,,"47228 Jennifer Curve, Molinaville, CO 15117",40-8911074
4048600,Guérin,6411,Insurance Agents,S-1,2024-10-21,ID,1231,3587000320.0,685498444.0,10431.0,Omar Blanca Sobrino,"59, rue Philippe Boutin, 53888 Martindan",79-8077035
7876296,Patel-Andrews,6311,Insurance,10-K,2026-03-31,SD,0930,549972909.0,8284365706.0,,Marie Antoine,"boulevard Paul Berthelot, 86863 Rivière",41-5949031
9744956,Clarke Ltd,6141,Personal Credit,10-K,2024-10-16,MO,0331,824851170.0,765319360.0,16754.0,Dr Damian Thomas,"951 Michael Lights, Benview, NG4 9PL",
2152393,"Cunningham, Scott and Reed",6199,Finance Services,13F-HR,2026-03-20,AR,0331,86567584.0,14188367702.0,5066.0,Dietmar Binner-Käster,"Canale Mauro, 8 Appartamento 99, 20814, Valera (MB)",14-2758975
8748174,"Abbagnale, Gatto e Maccanelli Group",7372,Software,8-K,2025-05-07,BS,0630,1761846762.0,279871643.0,21988.0,Mr. David Clark,"33, chemin Nicolas Merle, 63187 Collin",78-6026673
5456045,Marquez y asociados S.Coop.,6311,Insurance,10-K,2023-09-21,PG,0930,95625321.0,,8205.0,Gustav Heidrich-Stumpf,"4664 Jackson Pine Suite 991, Thomasside, CO 02581",14-4169373
1020508,Collet SARL,6512,Real Estate,10-Q,2024-11-07,OH,0331,507216553.0,6639638342.0,14074.0,Sig.ra Romana Leone,"2799 Rasmussen Estate, Dianaburgh, WI 11590",11-5430170
9163900,Mosemann,6141,Personal Credit,S-1,2024-02-11,AS,0630,1504710189.0,,27720.0,Martín Carretero Pereira,"827 Garza Motorway Suite 669, West David, LA 33514",27-9541450
5417392,Ackermann,6035,Savings Institutions,13F-HR,2026-01-20,SC,0930,560534907.0,15808998.0,,Hannah Cook,"23891 Nguyen Divide Apt. 050, Port Daniellefurt, NC 41186",96-5539716
2947150,Ferrari s.r.l.,6411,Insurance Agents,DEF 14A,2025-06-13,MS,0630,52713857.0,2096531376.0,38845.0,Michail Kraushaar-Kraushaar,"Calle de Sebastián Conde 4, Burgos, 36729",50-4546948
7908210,Winkler,6020,Commercial Banking,DEF 14A,2025-11-09,TE,1231,2962826250.0,27554608.0,27469.0,Julia Harris-Chan,"Pasaje María Belén Pareja 25, León, 14202",73-7746654
1060293,Cruz-Johnson,6199,Finance Services,DEF 14A,2024-04-10,MT,0630,1726015.0,2612163.0,11396.0,Mr Adam Parry,"Ladeckstraße 3-5, 46280 Rudolstadt",74-5667750
9542077,Chandler-Barnes,7372,Software,S-1,2025-11-20,OK,0930,2541344991.0,126019578.0,,Jennifer Jacobs MD,"Contrada Griselda, 21 Appartamento 0, 25072, Bagolino (BS)",50-6882175
4978372,"Foster, Lee and Douglas",6035,Savings Institutions,8-K,2023-10-05,EN,0331,3554906376.0,42392491.0,8948.0,,"Ronda Heraclio Bermejo 48 Puerta 7 , Zamora, 02717",
3068393,Santoro-Rensi s.r.l.,6411,Insurance Agents,S-1,2023-11-29,OH,0930,359462532.0,6951286590.0,12930.0,Paulette Peron,"Casparplatz 87/85, 73307 Zerbst",12-8127267
3010214,Chinnici-Malenchini Group,6512,Real Estate,10-K,2025-02-17,NH,0331,443219351.0,228997953.0,17809.0,Friedhelm Heuser-Hettner,"Ingeburg-Trub-Weg 28, 41649 Bruchsal",14-4407369
4494099,Morpurgo-Carriera e figli,6199,Finance Services,DEF 14A,2024-06-06,LA,1231,817846117.0,2929428.0,,,"Studio 83, Ball Mountain, North Damienfort, SM1N 2BN",74-9278174
8883501,Freudenberger,6159,Federal-Sponsored Credit,S-1,2023-10-21,LI,0930,731308714.0,127388040.0,33602.0,Dott. Nicoletta Pininfarina,"Urbanización Amor Bosch 31, Córdoba, 18199",38-4926479
7789789,Jenkins-Clark,6159,Federal-Sponsored Credit,8-K,31-May-2025,IM,0331,6493795967.0,46576064.0,29508.0,Glauco Ayuso Porta,"87712 Paul Vista, West Renee, VA 39976",11-5212237
4901510,Wernecke Schleich AG & Co. KG,6035,Savings Institutions,13F-HR,2026-01-07,ND,1231,1613107575.0,131845043.0,39702.0,Felipa Águila Pino,"Flat 87m, Wilson Road, Robertstad, L9F 5TN",11-2891078
4238025,Infraestructuras BMF S.Com.,6211,Security Brokers,DEF 14A,2026-03-06,NJ,0331,1610813802.0,13299122270.0,1569.0,,"Holger-Geisler-Platz 423, 15878 Grevenbroich",33-3142723
3235400,Guillon Monnier S.A.S.,6311,Insurance,8-K,2024-02-04,KS,0930,887853910.0,38173999.0,10985.0,Jessica Glover,"Kuhlstr. 1-9, 90828 Ueckermünde",15-5395061
3858597,Tecnologías Ugarte & Asociados S.Com.,6035,Savings Institutions,10-Q,2023-11-22,CO,1231,118466406.0,540057072.0,40106.0,Robert Fox,"Miesweg 79/41, 87101 Bad Mergentheim",14-6974357
8748142,"Thomas, Taylor and Murphy",6411,Insurance Agents,10-Q,2025-01-28,PE,1231,6411749038.0,22892098578.0,17648.0,Aurelia Schleich,"Viale Alina, 1 Appartamento 8, 00118, Roma (RM)",45-2112073
1949541,Baker-Young,6020,Commercial Banking,13F-HR,2023-07-20,GA,0331,378571086.0,113912592.0,45234.0,Honoré Charpentier de Delannoy,"721 Michael Gateway, Lake Christopherberg, AL 10473",85-5565271
4608636,Neuschäfer Mülichen AG,6035,Savings Institutions,10-Q,2025-01-02,RI,0930,2246718343.0,2409661019.0,24379.0,Olivia Wood-Wilson,"Camino Soraya Aragonés 83 Apt. 28 , Soria, 49681",40-2263045
9098717,Despacho Iberia S.L.,6020,Commercial Banking,13F-HR,2025-09-17,AK,0930,8953426522.0,24913702.0,6524.0,Margot Gillet,"Piazza Serraglio, 47 Piano 7, 05028, Penna In Teverina (TR)",91-3423349
5648091,Walker Ltd,6141,Personal Credit,DEF 14A,01-Oct-2024,TE,0331,5840999136.0,470143159.0,1895.0,Édouard-Aimé Mary,"Amelie-Bauer-Straße 1/5, 94144 Cuxhaven",85-8963631
7539332,Kruschwitz Ladeck AG,6141,Personal Credit,8-K,2023-05-06,OH,0331,1078980761.0,10377988.0,13464.0,Dr Lucy Hopkins,"Ronda de Bernardita Espada 74, Melilla, 18945",
3977218,Diallo SA,6141,Personal Credit,8-K,2023-12-29,BZ,1231,139539329.0,680328853.0,32556.0,Camille de la Perret,"Rohtstraße 91-43, 59275 Illertissen",48-3418487
5858893,Weston-Dean,6141,Personal Credit,10-K,2024-02-22,OR,0930,1356812915.0,310743118.0,45525.0,Charlotte Barber,"56, chemin de Jacob, 60675 Lecoqboeuf",92-4590071
8033277,Keller-Caldwell,6141,Personal Credit,10-K,2024-01-10,SD,1231,,,35018.0,Declan Carter,"USCGC Mcneil, FPO AE 41946",89-1866001
