country_code,country_name,year,gdp_current_usd,gdp_per_capita_usd,inflation_rate,unemployment_rate,governance_score,financial_inclusion_pct,corruption_perception_index,political_stability_index
FI,,2021,872041943838.0,225655993074.79,-6.58,4.45,0.887,25.1,62.3,1.629
FI,,2022,877322604988.0,8685263868.73,5.71,6.38,1.182,23.3,86.2,-1.726
FI,,2023,879695832928.0,15379223033.29,7.95,7.46,-1.427,85.8,40.6,2.878
FI,,2024,877561640809.0,37904833665.38,1.62,7.26,-1.883,87.7,31.2,0.223
FI,,2025,904858173936.0,3113813588.3,7.79,7.95,-0.727,96.4,12.7,-2.352
GR,,2018,439906892119.0,9112289112.42,2.77,11.15,-0.325,48.5,35.4,0.351
GR,,2019,450078566998.0,2716472402.37,-0.45,5.82,2.161,46.5,42.5,-2.207
GR,Falkland (Île),2020,470462746998.0,1687127091.4,-5.27,12.29,-1.446,22.1,11.1,-0.653
GR,,2021,454219647856.0,,4.17,5.69,2.261,39.3,47.7,-2.555
GR,,2022,,2353711613.81,-0.9,0.34,-0.347,,10.9,-0.914
GR,,2023,474196847468.0,1671169488.58,6.74,2.17,-2.454,84.7,17.9,0.442
GR,,2024,479065348665.0,1664181603.16,-0.9,8.74,-0.331,23.2,29.5,-0.271
GR,,2025,481203311564.0,5166260449.83,-2.83,9.9,-1.318,70.7,26.0,2.051
PL,,2018,201634077726.0,4060684195.17,2.62,1.08,2.071,85.6,51.4,-0.991
PL,,2019,212995293821.0,879801596.23,10.83,6.37,-0.012,68.1,80.1,-0.442
PL,,2020,221266939704.0,3270760718.39,-6.71,5.74,-2.343,37.7,47.4,-1.832
PL,,2021,215644416650.0,1668151242.26,6.56,6.6,1.088,59.3,68.0,-0.705
PL,,2022,222697732527.0,862994495.32,-0.02,14.7,1.138,,88.9,1.876
PL,,2023,229667000824.0,867004420.23,3.01,4.79,0.408,27.5,10.7,-0.585
PL,,2024,240919708159.0,1503555278.21,5.86,,-1.055,70.9,80.1,-1.198
PL,,2025,243224893910.0,1748755080.76,3.52,7.51,-0.341,62.3,62.9,0.302
SE,,2018,3349057666.0,30090338.61,-1.06,7.83,1.91,85.6,32.1,-0.03
SE,,2019,3178683771.0,93290954.97,-3.25,0.88,1.703,36.5,21.4,0.236
SE,,2020,3306673721.0,829541339.42,-3.31,3.08,0.19,49.2,63.0,-1.334
SE,,2021,3460529713.0,18115894.81,0.76,6.94,1.843,49.7,71.8,0.113
SE,,2022,3617739418.0,48443679.79,-0.11,5.29,-0.857,57.2,21.4,-2.679
SE,,2023,3639981316.0,168462162.38,-1.32,2.48,-0.194,79.1,12.9,-2.36
SE,,2024,3712041652.0,45710014.88,3.28,6.1,-2.006,41.2,31.5,1.848
SE,,2025,3896974309.0,54833722.42,-2.65,5.9,1.36,95.4,82.8,-0.853
DK,,2018,22444047202.0,283498023.3,1.55,0.99,0.972,99.0,19.5,1.376
DK,,2019,23266455581.0,99016836.38,4.24,1.06,1.48,,62.4,2.472
DK,,2020,24805104872.0,128055795.6,8.45,,-1.075,79.4,40.6,-2.138
DK,,2021,25302128852.0,137319072.39,7.1,4.85,0.751,55.2,77.0,1.942
DK,,2022,26901904222.0,92422770.49,0.82,11.06,-2.19,63.5,34.9,2.867
DK,,2023,26806303566.0,425066094.37,-2.65,6.0,-0.017,51.8,68.7,-0.252
DK,,2024,27397277244.0,467124814.63,0.25,5.2,2.456,85.7,79.4,0.67
DK,,2025,27504359350.0,,4.47,8.32,-2.412,46.6,68.9,-2.672
CZ,Nuova Caledonia,2018,261908588758.0,1276826119.49,2.29,9.54,0.604,90.2,13.9,1.618
CZ,,2019,266817636933.0,1307814005.13,10.1,5.48,0.015,30.9,44.7,-1.267
CZ,Libia,2020,,3281936166.7,6.48,2.62,2.037,25.5,75.6,0.944
CZ,,2021,269126518896.0,6110314545.42,9.65,7.48,-2.268,79.2,32.7,1.165
CZ,,2022,288728278320.0,1009501963.1,4.59,5.91,-0.413,35.4,72.3,0.283
CZ,,2023,300970169086.0,1123352580.45,3.25,,-0.405,96.0,48.4,0.335
CZ,,2024,307540817940.0,2276527608.51,5.91,2.49,-1.586,30.9,86.7,1.477
CZ,,2025,308068301089.0,3696014768.89,-1.58,1.37,-1.825,54.2,31.6,2.954
RO,,2018,,2844215450.42,9.14,10.83,0.601,96.0,71.5,0.199
RO,,2019,134166391579.0,1274765569.93,-5.9,,1.555,80.7,87.0,2.488
RO,,2020,136228954431.0,466364379.0,9.38,8.01,-1.464,96.0,25.6,2.839
RO,,2021,144641729388.0,2110764938.67,7.06,4.97,1.372,94.8,56.2,2.91
RO,,2022,149302047885.0,649307017.93,-0.52,6.3,-0.611,88.7,20.8,0.754
RO,,2023,159072787987.0,,10.51,8.47,0.391,77.7,64.4,2.545
RO,,2024,164041026832.0,642567384.05,5.23,8.46,2.377,85.7,40.2,2.177
RO,,2025,,2387525392.45,-0.01,5.07,-1.946,68.4,55.9,2.947
HU,,2018,375020976138.0,1925891882.19,5.81,,1.437,28.9,84.1,-1.778
HU,,2019,387054218703.0,3002649662.66,9.97,5.09,2.057,40.4,40.7,-1.958
HU,,2020,,2115714153.37,-1.88,12.17,-1.293,92.5,73.5,-2.629
HU,Haiti,2021,423606501971.0,2164873211.24,6.87,7.37,1.894,40.8,36.9,0.969
HU,,2022,411467026688.0,5438779544.87,5.29,9.77,-0.734,,55.5,0.548
HU,,2023,428066126406.0,7063119126.29,-5.44,9.28,1.649,53.4,86.8,0.007
HU,,2024,442285162742.0,4281244416.48,7.19,,1.06,19.5,17.1,2.708
HU,,2025,438229316690.0,1905857638.6,5.2,6.47,1.416,50.0,20.0,1.7
BG,,2018,57478429190.0,661294569.77,4.03,,0.51,52.8,44.2,-2.861
BG,,2019,56609560092.0,326815517.99,3.61,1.48,-0.925,84.2,88.6,0.582
BG,,2020,56811820820.0,329762986.02,11.33,8.41,-0.657,32.2,34.3,-1.976
BG,,2021,56923579590.0,195222563.6,6.12,8.93,0.885,47.3,75.0,2.061
BG,,2022,57347483355.0,1453164280.67,0.17,4.73,-0.555,92.8,14.5,1.928
BG,,2023,58201316556.0,372749586.84,4.48,12.64,1.542,63.9,49.4,-0.06
BG,,2024,57247677290.0,418805862.3,7.31,4.08,-0.99,41.3,48.8,2.088
BG,,2025,62735931979.0,,5.21,10.53,-1.029,29.3,78.1,-1.999
HR,,2018,,10393786373.92,2.95,3.74,2.099,18.8,71.4,2.308
HR,,2019,515858160169.0,3049183609.71,-2.76,6.93,1.089,42.5,52.8,-2.908
HR,,2020,515765101651.0,5255940467.05,2.42,3.13,-2.067,20.6,60.5,0.231
HR,,2021,517430174089.0,,0.48,8.8,-0.32,78.1,49.2,-2.75
HR,,2022,527326647442.0,3871554832.21,2.95,9.05,-2.207,40.6,84.0,-1.319
HR,,2023,502713687866.0,6856688111.58,-2.44,8.74,-1.759,53.9,11.1,-1.919
HR,,2024,523106933317.0,1784340936.27,2.22,8.09,-1.704,84.7,31.4,0.764
HR,,2025,542037859626.0,1905096425.19,-0.16,2.4,0.238,87.4,33.5,-1.114
SK,,2018,214779728186.0,,5.62,9.35,-1.544,77.9,19.8,1.186
SK,,2019,221123478688.0,2366230605.45,-0.87,10.75,-0.42,38.2,61.4,0.178
SK,,2020,222379023487.0,986095725.32,9.72,1.27,0.238,56.5,83.6,0.622
SK,,2021,223224422789.0,2869077566.77,2.31,8.66,1.752,28.5,87.0,1.345
SK,,2022,232383526838.0,852923558.09,3.97,1.25,0.676,41.8,67.7,1.178
SK,,2023,245809656096.0,2235660462.25,3.82,3.91,-0.057,80.7,64.8,-0.278
SK,,2024,264898183746.0,9493585719.87,6.45,2.67,1.039,22.7,68.3,-2.957
SK,,2025,277108114668.0,1465125866.08,0.93,7.08,-1.66,72.5,55.9,1.709
SI,,2018,16195566942.0,132652604.33,5.43,4.7,-2.316,54.8,53.5,-1.252
SI,,2019,15935087207.0,60742048.66,-1.66,17.3,0.979,,59.3,-0.646
SI,,2020,16404091168.0,244094231.64,-2.53,8.14,-0.259,81.4,35.4,0.326
SI,,2021,17084371996.0,170107127.18,2.43,3.39,1.826,32.0,18.6,-2.884
SI,,2022,18220624717.0,156031338.01,-5.9,2.14,0.885,91.1,38.3,-0.118
SI,,2023,19061651609.0,117850267.77,0.91,6.19,-2.157,64.8,27.1,1.026
SI,,2024,19763065716.0,406316052.67,3.6,7.81,-1.144,60.8,72.2,0.495
SI,,2025,20997482546.0,143575290.8,-2.99,5.18,1.359,,28.2,-1.534
LT,Ghana,2018,71324673005.0,380078937.02,7.55,2.27,0.697,29.8,28.9,1.022
LT,,2019,73915499576.0,396385843.44,3.22,4.69,2.073,23.4,10.7,-1.387
LT,,2020,73499946091.0,,0.48,6.64,2.407,25.3,22.5,-1.693
LT,,2021,76853156298.0,468341598.89,4.43,1.44,-0.939,88.2,50.8,-0.179
LT,,2022,,,2.97,9.41,-2.118,51.7,78.7,-1.698
LT,,2023,77717232182.0,2417546719.3,3.75,3.54,0.835,65.6,85.7,2.779
LT,,2024,77427295004.0,447374870.54,6.44,4.27,-2.448,25.0,87.9,-0.068
LT,,2025,76345600884.0,1584780894.25,3.7,13.83,-1.772,44.9,58.6,-1.089
LV,,2018,47195646852.0,501375173.23,6.97,7.21,-0.77,17.1,47.1,-0.862
LV,,2019,47847127180.0,508353711.07,2.05,1.86,0.191,64.0,75.8,-2.636
LV,,2020,,367689482.7,2.79,7.74,2.388,89.6,12.3,-1.761
LV,,2021,48514548773.0,810746017.82,8.04,3.5,-2.051,35.0,54.7,-1.384
LV,,2022,51089375533.0,8739614722.25,5.58,3.41,1.643,17.4,86.5,-0.927
LV,,2023,49021615063.0,164485001.14,3.32,7.54,-2.285,,33.3,-0.715
LV,,2024,51540511206.0,1066172654.91,-4.67,3.22,1.477,97.0,87.5,2.878
LV,,2025,52232473808.0,220266059.81,6.62,3.69,-2.315,32.6,66.5,-1.855
EE,,2018,530397000215.0,2765001103.16,2.16,12.74,1.772,39.9,22.9,1.475
EE,,2019,526806033223.0,25824574577.03,4.42,5.27,-2.5,78.9,61.6,2.087
EE,,2020,530914432119.0,4943352223.66,6.07,6.06,-0.893,,28.7,2.459
EE,,2021,539544808258.0,11040737454.65,-2.41,1.87,-0.322,50.8,79.2,-1.19
EE,,2022,542059438346.0,2423634360.79,9.08,4.01,1.966,97.9,21.5,0.83
EE,,2023,538425839541.0,28117817586.64,8.36,1.0,0.06,40.5,27.1,-0.277
EE,,2024,534789306667.0,3572514152.91,4.91,9.64,-2.136,79.1,27.6,2.538
EE,,2025,562885108269.0,2070829474.16,3.72,8.01,1.44,49.1,69.8,2.497
LU,,2018,101389587258.0,358637928.2,4.01,6.56,-1.021,15.2,14.6,1.725
LU,,2019,99459747716.0,429833165.17,3.65,8.05,0.835,61.6,26.7,2.372
LU,,2020,105419842711.0,655464189.81,3.51,3.33,-1.643,61.1,78.0,2.009
LU,,2021,111471148316.0,451873918.16,3.7,2.75,0.66,20.9,58.8,-2.255
LU,,2022,112550913307.0,520146111.24,3.98,7.15,-1.115,74.4,36.9,0.347
LU,,2023,110351215238.0,644548245.16,5.91,6.27,-2.292,98.5,46.8,-2.603
LU,,2024,112321440515.0,447548081.45,4.44,11.29,2.24,62.5,48.5,-1.421
LU,,2025,114418697829.0,1557632610.93,2.58,,-2.192,,87.5,-2.66
MT,,2018,34398699908.0,193290932.32,-2.1,6.56,-0.395,87.1,22.0,-1.7
MT,,2019,36592073463.0,476339714.97,6.93,2.82,-0.068,64.2,66.7,2.457
MT,,2020,36869955635.0,145542974.48,6.09,0.91,-0.063,76.4,75.4,-1.032
MT,,2021,,,-2.93,12.02,1.671,71.1,54.5,1.338
MT,Korea,2022,37542735221.0,128981479.57,1.9,8.71,-0.918,90.6,19.8,0.996
MT,,2023,,397747497.41,-0.2,4.42,-1.457,54.9,87.7,2.348
MT,,2024,,,3.54,4.86,2.026,52.1,46.1,-1.408
MT,,2025,36733007836.0,1027108920.84,-0.14,1.27,-1.54,47.5,51.8,-0.497
CY,,2018,223680259721.0,192740246216.26,7.23,7.35,-1.838,50.7,73.9,1.106
CY,,2019,216346094811.0,5098949446.87,4.18,4.99,2.171,15.0,66.5,-1.36
CY,,2020,220077810039.0,780985700.56,0.02,0.56,0.47,,40.9,0.425
CY,,2021,225775123927.0,781490017.58,4.21,13.27,-1.34,64.9,72.0,2.452
CY,,2022,218647389849.0,1075610489.9,6.82,2.13,0.869,83.2,12.9,-1.639
CY,,2023,214670671400.0,4890720329.76,6.64,1.53,-1.26,76.3,28.7,-1.466
CY,,2024,224474593728.0,959384555.92,0.15,11.53,1.871,19.3,68.8,-2.301
CY,,2025,241042013031.0,2413447051.47,-4.34,10.19,2.23,50.7,14.6,0.741
US,,2018,13667829325.0,63670910.1,3.04,0.32,1.112,93.1,52.9,-0.808
US,,2019,13512207578.0,46175335.04,-0.49,1.04,-2.052,57.5,78.1,-0.438
US,,2020,13956652585.0,96533662.11,2.62,6.06,-1.063,82.2,64.9,0.468
US,,2021,14391664156.0,48317069.69,3.22,5.22,-1.957,95.4,50.6,-1.336
US,,2022,14385004639.0,168543092.64,7.83,2.16,1.782,90.3,69.8,1.479
US,,2023,14685388355.0,75234890.75,9.37,1.61,0.934,41.6,86.0,-0.293
US,,2024,14890951504.0,,1.14,0.13,0.137,90.7,13.4,1.271
US,,2025,14982182820.0,1542679699.39,4.13,12.79,-0.592,49.3,13.3,-0.424
GB,,2018,669968128.0,2577227.22,2.89,8.51,1.983,48.2,74.4,0.152
GB,,2019,699748176.0,7407808.88,9.2,,1.019,67.2,70.1,-0.254
GB,,2020,718729550.0,3569803.82,3.94,0.01,0.755,66.7,48.2,-2.069
GB,,2021,728887139.0,26196313.34,-2.64,3.12,-0.352,22.5,89.7,1.149
GB,,2022,762720788.0,5363349.71,7.39,6.19,-1.659,69.7,12.8,-0.104
GB,Grenada,2023,757988575.0,2648816.41,0.76,13.46,-0.282,51.9,14.8,-2.984
GB,,2024,741897219.0,4344967.05,1.96,8.81,0.506,43.2,65.1,-2.195
GB,,2025,766878789.0,3029990.69,-3.64,1.33,-2.07,78.1,67.7,0.111
CA,,2018,920445031281.0,17659043597.79,5.82,3.72,1.486,35.4,83.8,-2.446
CA,,2019,942755428358.0,3718667149.0,-2.27,1.91,0.843,23.1,44.7,1.208
CA,,2020,962497928761.0,,3.31,7.54,2.035,18.1,23.4,-1.673
CA,,2021,933722741616.0,24211369353.5,4.97,1.38,2.127,34.3,80.1,-0.612
CA,,2022,927747626937.0,3922608107.38,7.79,8.62,-0.952,90.6,30.7,-2.115
CA,,2023,978231456751.0,3940327605.96,11.73,6.63,1.625,82.7,71.9,1.579
CA,,2024,986807305997.0,855783438438.3,0.97,9.82,-0.364,82.7,57.4,-0.13
CA,,2025,1074150666603.0,4140205684.56,1.2,6.75,1.938,23.5,52.2,-2.036
AU,,2018,69326130702.0,435798527.3,0.78,2.65,0.883,26.8,78.6,0.051
AU,,2019,,247031339.54,3.86,8.92,1.347,70.3,52.3,0.149
AU,Australia,2020,72616108124.0,1475644427.52,2.34,11.5,-0.358,26.8,73.1,2.269
AU,,2021,75744811192.0,307260329.98,7.37,4.47,-2.372,69.2,18.1,0.917
AU,,2022,77910504894.0,1081701308.87,-0.33,5.72,-0.908,84.1,50.4,2.087
AU,,2023,77964467186.0,12844414743.79,2.73,11.07,-0.656,15.1,86.0,0.224
AU,,2024,80941819579.0,330332786.47,4.55,0.87,-0.18,80.4,29.3,-1.965
AU,,2025,80104205216.0,4073703888.49,1.03,3.05,-1.179,46.5,28.6,-2.599
JP,,2018,1030790389005.0,15855618953.58,4.96,0.55,0.539,48.4,55.9,-1.191
JP,,2019,1039232609437.0,13110987237.05,-1.1,2.38,2.274,93.3,46.2,-1.607
JP,,2020,1111892081987.0,33553086602.28,3.41,6.08,-0.463,95.1,46.6,0.662
JP,,2021,1135273366503.0,34564805598.72,5.11,4.92,-0.399,72.1,70.9,2.576
JP,,2022,1101761827121.0,31827611751.29,6.11,7.95,2.473,82.2,39.5,0.639
JP,,2023,,11887710672.24,6.77,3.23,-1.246,28.2,84.8,-1.985
JP,,2024,1128734883433.0,473897754033.81,6.53,2.11,0.402,68.2,78.6,-2.063
JP,,2025,1138396487705.0,14077636770.33,-5.27,4.42,0.591,19.6,20.8,-1.271
CH,,2018,34281593017.0,119089033.66,6.79,10.02,-2.36,98.7,25.7,2.075
CH,,2019,34853870424.0,193504049.38,3.69,8.4,-1.061,70.6,74.5,-0.085
CH,,2020,34916893790.0,,0.3,4.89,-1.984,75.1,40.2,2.784
CH,,2021,,,-1.82,7.74,-0.663,80.3,76.6,0.238
CH,,2022,36102901356.0,126845555.46,2.14,12.06,-2.408,80.5,45.7,1.062
CH,,2023,37567370956.0,144300016.11,10.87,7.92,-2.07,47.7,74.3,1.452
CH,,2024,37965239072.0,252574793.51,1.19,9.54,-0.01,66.8,40.1,1.8
CH,,2025,39371554720.0,160246000.5,1.49,2.28,-0.451,29.0,19.7,-2.326
SG,,2018,88388750641.0,2608124676.7,-3.76,11.64,-1.798,57.5,61.4,0.519
SG,,2019,92999248931.0,701725992.25,5.29,1.92,-0.892,55.8,73.2,1.792
SG,,2020,97496004572.0,866574982.29,7.26,1.13,-1.542,15.3,47.8,2.745
SG,,2021,100370775681.0,503425259.94,5.37,7.62,-0.692,74.4,76.7,1.767
SG,,2022,104504487775.0,9020233869.98,1.13,3.87,-1.197,70.3,73.4,1.773
SG,,2023,104641465945.0,11617863140.8,9.51,3.56,1.424,23.5,43.2,0.568
SG,,2024,106698049297.0,1184163093.88,0.63,4.4,-2.077,21.3,37.3,1.984
SG,,2025,105541709233.0,394213862.06,3.28,1.41,-0.017,34.1,81.6,-0.462
BR,,2018,323971579740.0,1179129217.41,-3.34,4.23,0.943,86.7,41.4,-2.685
BR,,2019,337133878769.0,1596767767.58,5.21,0.2,0.353,95.8,77.6,1.318
BR,,2020,329579537914.0,4575720426.92,3.82,14.13,-0.542,62.3,20.0,-0.397
BR,,2021,337898393325.0,1160854000.7,3.86,4.67,-0.029,87.8,82.6,2.889
BR,,2022,358037146430.0,,7.2,9.23,0.116,56.7,21.5,2.814
BR,,2023,364147849368.0,2580298797.94,8.09,0.38,0.025,85.8,22.4,1.228
BR,,2024,373348255210.0,1543851740.03,5.71,12.49,0.007,24.6,22.1,-2.372
BR,,2025,369255525784.0,3617047226.76,7.19,6.99,-1.094,67.0,58.2,0.627
MX,,2018,186772958848.0,1286694691.93,6.77,8.98,0.866,33.1,83.3,-1.227
MX,,2019,187539603132.0,884733777.54,2.59,8.77,2.286,85.8,40.5,-1.832
MX,,2020,193064454508.0,1599796607.85,6.24,7.39,0.503,98.8,65.6,-0.22
MX,,2021,195491097192.0,711260541.7,2.6,5.16,-1.85,29.3,69.7,-2.697
MX,,2022,198267026605.0,3214905206.47,-3.92,4.38,1.332,47.3,65.4,-1.748
MX,,2023,200743978592.0,693272010.65,7.44,11.45,2.318,,70.7,0.121
MX,,2024,201900314741.0,1930833323.52,3.83,12.39,1.895,21.6,81.3,0.51
MX,,2025,206249879376.0,856811947.8,-3.27,3.25,-1.607,63.9,50.9,1.11
IN,Andorra,2018,17192797967.0,151708688.64,8.22,5.66,-0.259,56.7,29.7,0.773
IN,,2019,17767639029.0,150966414.37,7.37,11.05,-0.12,17.6,73.4,-2.002
IN,,2020,18062211395.0,82925422.02,4.2,0.09,0.815,88.7,70.6,-2.305
IN,,2021,18265967955.0,171343019.68,3.05,2.77,0.987,91.4,87.6,-0.708
IN,,2022,18775114296.0,84504789.72,3.55,7.99,0.534,83.5,31.9,2.123
IN,,2023,20592435191.0,184031540.29,4.47,12.12,0.491,85.7,15.1,-2.173
IN,,2024,20463614705.0,392575643.7,4.17,6.35,-2.39,38.7,17.0,-1.209
IN,,2025,19813737643.0,101505669.83,0.53,5.39,1.968,40.8,40.4,1.272
ZA,,2018,20511268663.0,132073398.82,0.53,10.41,-1.447,61.0,58.0,-1.02
ZA,,2019,21339874708.0,157439145.55,4.09,0.31,1.794,16.6,11.2,-2.171
ZA,,2020,21550678479.0,530964570.34,0.26,14.27,-1.027,20.4,31.2,-2.134
ZA,,2021,22048565007.0,176769145.03,4.69,8.97,-0.552,56.1,89.2,-0.451
ZA,,2022,,1459308802.95,0.57,7.51,-0.88,19.6,31.4,2.136
ZA,,2023,23050747781.0,112762927.62,6.99,6.09,0.53,37.7,43.1,-2.194
ZA,,2024,24282886683.0,111889177.91,-6.5,8.71,0.194,32.0,76.7,-0.961
ZA,,2025,25236978530.0,124576149.27,9.53,0.26,1.618,61.7,78.7,1.237
NG,,2018,2564366022912.0,11932394555.33,2.88,6.47,1.586,74.6,84.0,-2.236
NG,,2019,2571630048578.0,13198351004.37,6.14,6.63,-0.779,47.9,63.0,1.871
NG,,2020,2563544754263.0,30180927993.39,-1.53,0.8,1.293,79.7,66.3,2.796
NG,,2021,2540098187155.0,17044022533.07,3.87,,-0.204,64.3,42.7,1.087
